Time,Event,Poss,EventPoss
0.0008272,,1,
0.00090544,,1,
0.00112708,,1,
0.00208403,,1,
0.0023066,,1,
0.00258368,,1,
0.00302095,,1,
0.00329178,,1,
0.00351748,,1,
0.00367963,,1,
0.00398553,,1,
0.00436921,,1,
0.00449421,,1,
0.00462234,,1,
0.00486227,,1,
0.00514479,,1,
0.0053478,,1,
0.00547662,,1,
0.0056588,,1,
0.0059647,,1,
0.00669016,,1,
0.00803808,,1,
0.00875486,,1,
0.00932164,,1,
0.00956065,,1,
0.01010382,,1,
0.01031343,,1,
0.01043264,,1,
0.01058299,,1,
0.01070914,,1,
0.01109144,,1,
0.01128426,,1,
0.01155,,1,
0.01166007,,1,
0.01178681,,1,
0.01187847,,1,
0.01329861,,1,
0.01370752,,1,
0.01414653,,1,
0.01423924,,1,
0.01440243,,1,
0.0148647,,1,
0.0151081,,1,
0.01568264,,1,
0.01576424,,1,
0.01624236,,1,
0.01658484,,1,
0.01690949,,1,
0.01718935,,1,
0.01732778,,1,
0.01763044,,1,
0.01850625,,1,
0.01898472,,1,
0.01919502,,1,
0.0192838,,1,
0.01951528,,1,
0.01961725,,1,
0.01974653,,1,
0.020139,,1,
0.02064792,,1,
0.02098958,,1,
0.02105752,,1,
0.02130208,,1,
0.02174144,,1,
0.02198333,,1,
