Shot_for,Chance
0.00621169,goal
0.00811238,no
0.01180231,blocked
0.01209132,blocked
0.0121978,blocked
0.01572639,no
0.01715278,blocked
0.01720579,yes
0.01899213,blocked
0.01902616,blocked
0.0190375,yes
0.01963785,no
0.0214066,blocked
