#,Name,ClipType,Media In,Media Out,Media Duration,NHL Period,Player Participation,GameClockIn,Strength,ScoutedPlayer,NonScoutedPlayer,Win/Loss,Chance?,Shot Location,Zone,FaceOffLRC,Entry Origin,Entry,Successful?,Breakout
286,"GM26 2019-02-01 Colgate at RPI P3, Take Away 004",Take Away,00:22:35.31,00:22:50.30,00:00:14.9820000,3,"06 Ferner, 08 Gornall, 13 Lee, 21 Wiffen, 28 Hallbauer, 31 Savory",13:03,Even,07 Bowman,,,,,dz,,,,,
287,"GM26 2019-02-01 Colgate at RPI P3, NZ Forecheck 009",NZ Forecheck,00:22:39.38,00:22:56.47,00:00:17.1340000,3,"06 Ferner, 08 Gornall, 13 Lee, 21 Wiffen, 26 Marrello, 28 Hallbauer, 31 Savory",13:02,Even,,,,,,,,,,,
288,"GM26 2019-02-01 Colgate at RPI P3, TeamShift 022",TeamShift,00:22:41.20,00:22:55.41,00:00:14.3640000,3,"06 Ferner, 08 Gornall, 21 Wiffen, 26 Marrello, 28 Hallbauer, 31 Savory",13:01,Even,,,,,,,,,,,
289,"GM26 2019-02-01 Colgate at RPI P3, Shift_TOI 053",Shift_TOI,00:22:42.20,00:25:01.43,00:02:19.3890000,3,"08 Gornall, 21 Wiffen, 26 Marrello, 31 Savory",13:01,Even,21 Wiffen,,,,,,,,,,
290,"GM26 2019-02-01 Colgate at RPI P3, Opponent Entry 017",Opponent Entry,00:22:42.43,00:22:52.41,00:00:09.9770000,3,"06 Ferner, 08 Gornall, 21 Wiffen, 26 Marrello, 28 Hallbauer, 31 Savory",12:57,Even,,,,,,,,nz,possession,no,
291,"GM26 2019-02-01 Colgate at RPI P3, Shift_TOI 054",Shift_TOI,00:22:43.14,00:25:01.44,00:02:18.5050000,3,"08 Gornall, 21 Wiffen, 26 Marrello, 31 Savory",13:00,Even,26 Marrello,,,,,,,,,,
292,"GM26 2019-02-01 Colgate at RPI P3, Shot For 007",Shot For,00:22:47.12,00:23:01.11,00:00:13.9810000,3,"04 Grant, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 31 Savory",12:46,Even,08 Gornall,,,yes,rush,,,,,,
293,"GM26 2019-02-01 Colgate at RPI P3, Take Away 005",Take Away,00:22:48.36,00:23:03.35,00:00:14.9820000,3,"06 Ferner, 08 Gornall, 21 Wiffen, 26 Marrello, 31 Savory",12:50,Even,21 Wiffen,,,,,dz,,,,,
294,"GM26 2019-02-01 Colgate at RPI P3, Breakout 011",Breakout,00:22:48.48,00:22:58.37,00:00:09.8100000,3,"04 Grant, 06 Ferner, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 28 Hallbauer, 31 Savory",12:51,Even,,,,,,,,,,,transition
295,"GM26 2019-02-01 Colgate at RPI P3, Entry 007",Entry,00:22:50.48,00:23:00.47,00:00:09.9770000,3,"08 Gornall, 21 Wiffen, 26 Marrello, 31 Savory",12:49,Even,,,,,,,,breakout,possession,yes,
296,"GM26 2019-02-01 Colgate at RPI P3, Offensive Zone 005",Offensive Zone,00:22:53.38,00:23:03.11,00:00:09.5430000,3,"04 Grant, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 31 Savory",12:48,Even,,,,,,,,,,,
297,"GM26 2019-02-01 Colgate at RPI P3, TeamShift 023",TeamShift,00:22:55.28,00:22:58.12,00:00:02.7190000,3,"04 Grant, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 31 Savory",12:47,Even,,,,,,,,,,,
298,"GM26 2019-02-01 Colgate at RPI P3, RPI Possession 029",RPI Possession,00:22:55.34,00:23:03.16,00:00:07.6910000,3,,12:51,Even,,,,,,,,,,,
299,"GM26 2019-02-01 Colgate at RPI P3, RPI Possession 030",RPI Possession,00:22:55.38,00:23:03.20,00:00:07.6910000,3,,12:51,Even,,,,,,,,,,,
300,"GM26 2019-02-01 Colgate at RPI P3, Shift_TOI 055",Shift_TOI,00:22:58.12,00:24:57.31,00:01:59.3190000,3,"04 Grant, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 31 Savory",12:45,Even,04 Grant,,,,,,,,,,
301,"GM26 2019-02-01 Colgate at RPI P3, Shift_TOI 056",Shift_TOI,00:22:58.12,00:24:57.31,00:01:59.3190000,3,"04 Grant, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 31 Savory",12:45,Even,27 Bear,,,,,,,,,,
302,"GM26 2019-02-01 Colgate at RPI P3, TeamShift 024",TeamShift,00:24:17.38,00:24:47.24,00:00:29.7630000,3,"04 Grant, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 31 Savory",12:45,Even,,,,,,,,,,,
303,"GM26 2019-02-01 Colgate at RPI P3, SyncPoint 021",SyncPoint,00:24:18.00,00:24:20.01,00:00:02.0020000,3,,12:45,Even,,,,,,,,,,,
304,"GM26 2019-02-01 Colgate at RPI P3, SyncPoint 022",SyncPoint,00:24:18.04,00:24:20.05,00:00:02.0020000,3,,12:45,Even,,,,,,,,,,,
305,"GM26 2019-02-01 Colgate at RPI P3, Faceoff 011",Faceoff,00:24:18.18,00:24:31.17,00:00:12.9800000,3,"04 Grant, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 31 Savory",12:43,Even,26 Marrello,23 Stewart,loss,,,oz,right,,,,
306,"GM26 2019-02-01 Colgate at RPI P3, Opponent Breakout 009",Opponent Breakout,00:24:19.32,00:24:27.04,00:00:07.5410000,3,"04 Grant, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 31 Savory",12:38,Even,,,,,,,,,,,dz coverage
307,"GM26 2019-02-01 Colgate at RPI P3, Giveaway 007",Giveaway,00:24:21.14,00:24:36.13,00:00:14.9820000,3,"04 Grant, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 31 Savory",12:35,Even,26 Marrello,,,,,nz,,,,,
308,"GM26 2019-02-01 Colgate at RPI P3, NZ Offense 002",NZ Offense,00:24:23.37,00:24:31.10,00:00:07.5580000,3,"04 Grant, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 31 Savory",12:36,Even,,,,,,,,,,,
309,"GM26 2019-02-01 Colgate at RPI P3, Opponent Entry 018",Opponent Entry,00:24:23.47,00:24:33.45,00:00:09.9770000,3,"04 Grant, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 31 Savory",12:34,Even,,,,,,,,nz,dump,yes,
310,"GM26 2019-02-01 Colgate at RPI P3, Opponent Possession 037",Opponent Possession,00:24:24.29,00:24:43.34,00:00:19.0860000,3,,12:41,Even,,,,,,,,,,,
311,"GM26 2019-02-01 Colgate at RPI P3, Opponent Possession 038",Opponent Possession,00:24:24.33,00:24:43.38,00:00:19.0860000,3,,12:41,Even,,,,,,,,,,,
