#,Name,ClipType,Media In,Media Out,Media Duration,NHL Period,Player Participation,GameClockIn,Strength,ScoutedPlayer,NonScoutedPlayer,Win/Loss,Chance?,Shot Location,Zone,FaceOffLRC,Entry Origin,Entry,Successful?,Breakout
1,"GM30 2019-02-16 Quinnipiac at RPI P2, Game 001",Game,00:00:42.31,00:37:20.11,00:36:37.6810000,2,,,Even,,,,,,,,,,,
2,"GM30 2019-02-16 Quinnipiac at RPI P2, Power Play 001",Power Play,00:00:42.31,00:01:06.07,00:00:23.6070000,2,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",,5 v 4,,,,,,,,,,,
3,"GM30 2019-02-16 Quinnipiac at RPI P2, TeamShift 001",TeamShift,00:00:42.59,00:00:59.07,00:00:16.1330000,2,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",20:00,5 v 4,,,,,,,,,,,
4,"GM30 2019-02-16 Quinnipiac at RPI P2, Shift_TOI 001",Shift_TOI,00:00:43.26,00:00:59.38,00:00:16.2000000,2,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",20:00,5 v 4,17 Burgess,,,,,,,,,,
5,"GM30 2019-02-16 Quinnipiac at RPI P2, Shift_TOI 002",Shift_TOI,00:00:43.26,00:00:59.38,00:00:16.2000000,2,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",20:00,5 v 4,12 Zieky,,,,,,,,,,
6,"GM30 2019-02-16 Quinnipiac at RPI P2, Shift_TOI 003",Shift_TOI,00:00:43.26,00:00:59.38,00:00:16.2000000,2,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",20:00,5 v 4,23 Johnson,,,,,,,,,,
7,"GM30 2019-02-16 Quinnipiac at RPI P2, Shift_TOI 004",Shift_TOI,00:00:43.26,00:00:59.38,00:00:16.2000000,2,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",20:00,5 v 4,09 Moore,,,,,,,,,,
8,"GM30 2019-02-16 Quinnipiac at RPI P2, Shift_TOI 005",Shift_TOI,00:00:43.26,00:00:59.38,00:00:16.2000000,2,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",20:00,5 v 4,24 Reilly,,,,,,,,,,
9,"GM30 2019-02-16 Quinnipiac at RPI P2, Shift_TOI 006",Shift_TOI,00:00:43.26,00:00:59.38,00:00:16.2000000,2,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",20:00,5 v 4,31 Savory,,,,,,,,,,
10,"GM30 2019-02-16 Quinnipiac at RPI P2, SyncPoint 001",SyncPoint,00:00:43.38,00:00:45.38,00:00:02.0020000,2,,20:00,5 v 4,,,,,,,,,,,
11,"GM30 2019-02-16 Quinnipiac at RPI P2, Faceoff 001",Faceoff,00:00:45.33,00:00:58.31,00:00:12.9800000,2,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",19:59,5 v 4,09 Moore,08 Whelan,win,,,nz,center,,,,
12,"GM30 2019-02-16 Quinnipiac at RPI P2, NZ Offense 001",NZ Offense,00:00:46.41,00:00:58.00,00:00:11.3280000,2,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",19:56,5 v 4,,,,,,,,,,,
13,"GM30 2019-02-16 Quinnipiac at RPI P2, RPI Possession 001",RPI Possession,00:00:47.04,00:00:51.10,00:00:04.1040000,2,,19:57,5 v 4,,,,,,,,,,,
14,"GM30 2019-02-16 Quinnipiac at RPI P2, Opponent Possession 001",Opponent Possession,00:00:51.20,00:00:58.37,00:00:07.2910000,2,,19:53,5 v 4,,,,,,,,,,,
15,"GM30 2019-02-16 Quinnipiac at RPI P2, Forecheck 001",Forecheck,00:00:57.40,00:01:06.05,00:00:08.4080000,2,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",19:45,5 v 4,,,,,,,,,,,
16,"GM30 2019-02-16 Quinnipiac at RPI P2, RPI Possession 002",RPI Possession,00:00:58.47,00:01:02.50,00:00:04.0370000,2,,19:46,5 v 4,,,,,,,,,,,
17,"GM30 2019-02-16 Quinnipiac at RPI P2, Shift_TOI 007",Shift_TOI,00:00:59.07,00:01:31.08,00:00:32.0150000,2,"09 Moore, 12 Zieky, 21 Wiffen, 23 Johnson, 24 Reilly, 31 Savory",19:44,Even,24 Reilly,,,,,,,,,,
18,"GM30 2019-02-16 Quinnipiac at RPI P2, Shift_TOI 008",Shift_TOI,00:00:59.10,00:01:14.45,00:00:15.5990000,2,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",19:44,Even,23 Johnson,,,,,,,,,,
19,"GM30 2019-02-16 Quinnipiac at RPI P2, Shift_TOI 009",Shift_TOI,00:00:59.10,00:01:44.19,00:00:45.1450000,2,"04 Grant, 06 Ferner, 09 Moore, 12 Zieky, 21 Wiffen, 31 Savory",19:44,Even,09 Moore,,,,,,,,,,
20,"GM30 2019-02-16 Quinnipiac at RPI P2, Shift_TOI 010",Shift_TOI,00:00:59.12,00:01:20.32,00:00:21.3380000,2,"06 Ferner, 09 Moore, 12 Zieky, 17 Burgess, 24 Reilly, 31 Savory",19:44,Even,17 Burgess,,,,,,,,,,
21,"GM30 2019-02-16 Quinnipiac at RPI P2, TeamShift 002",TeamShift,00:00:59.19,00:01:14.50,00:00:15.5320000,2,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",19:44,Even,,,,,,,,,,,
