#,Name,ClipType,Media In,Media Out,Media Duration,NHL Period,Player Participation,GameClockIn,Strength,ScoutedPlayer,NonScoutedPlayer,Win/Loss,Chance?,Shot Location,Zone,FaceOffLRC,Entry Origin,Entry,Successful?,Breakout
1,"GM30 2019-02-16 Quinnipiac at RPI P1, SyncPoint 001",SyncPoint,00:01:26.01,00:01:28.01,00:00:02.0020000,1,,20:00,Even,,,,,,,,,,,
2,"GM30 2019-02-16 Quinnipiac at RPI P1, Faceoff 001",Faceoff,00:01:26.37,00:01:39.36,00:00:12.9800000,1,"04 Grant, 09 Moore, 12 Zieky, 17 Burgess, 27 Bear, 31 Savory",20:00,Even,09 Moore,16 Fallstrom,loss,,,nz,center,,,,
3,"GM30 2019-02-16 Quinnipiac at RPI P1, Game 001",Game,00:01:26.37,00:34:42.55,00:33:16.2960000,1,,,Even,,,,,,,,,,,
4,"GM30 2019-02-16 Quinnipiac at RPI P1, NZ Forecheck 001",NZ Forecheck,00:01:27.12,00:01:37.38,00:00:10.4270000,1,"04 Grant, 09 Moore, 12 Zieky, 17 Burgess, 27 Bear, 31 Savory",19:57,Even,,,,,,,,,,,
5,"GM30 2019-02-16 Quinnipiac at RPI P1, Shift_TOI 001",Shift_TOI,00:01:27.14,00:27:00.53,00:25:33.6500000,1,"28 Hallbauer, 31 Savory",20:00,5 v 4,31 Savory,,,,,,,,,,
6,"GM30 2019-02-16 Quinnipiac at RPI P1, Shift_TOI 002",Shift_TOI,00:01:28.19,00:02:33.46,00:01:05.4490000,1,"04 Grant, 08 Gornall, 09 Moore, 17 Burgess, 27 Bear, 31 Savory",20:00,Even,09 Moore,,,,,,,,,,
7,"GM30 2019-02-16 Quinnipiac at RPI P1, Shift_TOI 003",Shift_TOI,00:01:28.37,00:02:32.01,00:01:03.3970000,1,"04 Grant, 09 Moore, 12 Zieky, 17 Burgess, 27 Bear, 31 Savory",20:00,Even,12 Zieky,,,,,,,,,,
8,"GM30 2019-02-16 Quinnipiac at RPI P1, TeamShift 001",TeamShift,00:01:28.42,00:01:37.14,00:00:08.5250000,1,"04 Grant, 09 Moore, 12 Zieky, 17 Burgess, 27 Bear, 31 Savory",20:00,Even,,,,,,,,,,,
9,"GM30 2019-02-16 Quinnipiac at RPI P1, Shift_TOI 004",Shift_TOI,00:01:29.14,00:02:53.06,00:01:23.8670000,1,"08 Gornall, 21 Wiffen, 24 Reilly, 26 Marrello, 27 Bear, 31 Savory",20:00,Even,27 Bear,,,,,,,,,,
10,"GM30 2019-02-16 Quinnipiac at RPI P1, Shift_TOI 005",Shift_TOI,00:01:29.17,00:02:41.40,00:01:12.3720000,1,"04 Grant, 08 Gornall, 17 Burgess, 26 Marrello, 27 Bear, 31 Savory",20:00,Even,17 Burgess,,,,,,,,,,
11,"GM30 2019-02-16 Quinnipiac at RPI P1, Shift_TOI 006",Shift_TOI,00:01:29.29,00:02:49.39,00:01:20.1630000,1,"04 Grant, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 31 Savory",20:00,Even,04 Grant,,,,,,,,,,
12,"GM30 2019-02-16 Quinnipiac at RPI P1, Opponent Entry 001",Opponent Entry,00:01:30.00,00:01:39.59,00:00:09.9770000,1,"04 Grant, 09 Moore, 12 Zieky, 17 Burgess, 27 Bear, 31 Savory",19:53,Even,,,,,,,,nz,dump,no,
13,"GM30 2019-02-16 Quinnipiac at RPI P1, Opponent Possession 001",Opponent Possession,00:01:31.09,00:01:38.58,00:00:07.8080000,1,,19:55,Even,,,,,,,,,,,
14,"GM30 2019-02-16 Quinnipiac at RPI P1, Opponent Forecheck 001",Opponent Forecheck,00:01:31.39,00:01:39.02,00:00:07.3740000,1,"04 Grant, 09 Moore, 12 Zieky, 17 Burgess, 27 Bear, 31 Savory",19:53,Even,,,,,,,,,,,
15,"GM30 2019-02-16 Quinnipiac at RPI P1, TeamShift 002",TeamShift,00:01:57.11,00:02:31.33,00:00:34.3680000,1,"04 Grant, 09 Moore, 12 Zieky, 17 Burgess, 27 Bear, 31 Savory",19:51,Even,,,,,,,,,,,
16,"GM30 2019-02-16 Quinnipiac at RPI P1, SyncPoint 002",SyncPoint,00:01:57.37,00:01:59.37,00:00:02.0020000,1,,19:51,Even,,,,,,,,,,,
