#,Name,ClipType,Media In,Media Out,Media Duration,NHL Period,GameClockIn,Strength,Smith,Weber,Jewell,Lysyj,Red Comments,Jewell Comments
416,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 072",Shift_TOI,00:16:14.34,00:17:11.53,00:00:57.3070000,2,08:55,Even,,,,,,
417,"GM26 2019-02-01 Colgate at RPI P2, Offensive Zone 014",Offensive Zone,00:16:16.16,00:16:33.28,00:00:17.2010000,2,8:51,Even,,,,,,
418,"GM26 2019-02-01 Colgate at RPI P2, Jewell 029",Jewell,00:16:16.57,00:16:22.46,00:00:05.8220000,2,,,,,LRF; TEACH 19 RLS LYSYJ,,,
419,"GM26 2019-02-01 Colgate at RPI P2, Shot Against 013",Shot Against,00:16:23.12,00:16:37.11,00:00:13.9810000,2,8:35,Even,,,,,,
420,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 073",Shift_TOI,00:16:23.53,00:17:17.47,00:00:53.9040000,2,08:46,Even,,,,,,
421,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 074",Shift_TOI,00:16:23.59,00:17:20.05,00:00:56.1060000,2,08:46,Even,,,,,,
422,"GM26 2019-02-01 Colgate at RPI P2, TeamShift 039",TeamShift,00:16:24.23,00:16:32.48,00:00:08.4250000,2,08:46,Even,,,,,,
423,"GM26 2019-02-01 Colgate at RPI P2, Opponent Breakout 013",Opponent Breakout,00:16:25.29,00:16:34.07,00:00:08.6250000,2,8:39,Even,,,,,,
424,"GM26 2019-02-01 Colgate at RPI P2, Opponent Entry 015",Opponent Entry,00:16:27.55,00:16:37.54,00:00:09.9770000,2,8:37,Even,,LRA; teach 24 slide to mld. 19 08 keep feet moving & stick on ice on track,,,,
425,"GM26 2019-02-01 Colgate at RPI P2, Opponent Possession 041",Opponent Possession,00:16:29.39,00:16:38.13,00:00:08.5590000,2,08:41,Even,,,,,,
426,"GM26 2019-02-01 Colgate at RPI P2, Opponent Possession 042",Opponent Possession,00:16:29.43,00:16:38.17,00:00:08.5590000,2,08:41,Even,,,,,,
427,"GM26 2019-02-01 Colgate at RPI P2, Defensive Zone 012",Defensive Zone,00:16:30.38,00:16:41.10,00:00:10.5270000,2,8:36,Even,,,,,,
428,"GM26 2019-02-01 Colgate at RPI P2, TeamShift 040",TeamShift,00:16:32.34,00:16:38.14,00:00:05.6720000,2,08:37,Even,,,,,,
429,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 075",Shift_TOI,00:16:32.54,00:17:04.28,00:00:31.5650000,2,08:37,Even,,,,,,
430,"GM26 2019-02-01 Colgate at RPI P2, Breakout 015",Breakout,00:16:33.12,00:16:40.27,00:00:07.2570000,2,8:32,Even,,,,,,
431,"GM26 2019-02-01 Colgate at RPI P2, Shot For 014",Shot For,00:16:34.10,00:16:48.08,00:00:13.9810000,2,8:24,Even,,,,,,
432,"GM26 2019-02-01 Colgate at RPI P2, Entry 018",Entry,00:16:35.26,00:16:45.24,00:00:09.9770000,2,8:29,Even,,,,,,
433,"GM26 2019-02-01 Colgate at RPI P2, Offensive Zone 015",Offensive Zone,00:16:38.11,00:16:53.23,00:00:15.1990000,2,8:29,Even,,,,,,
434,"GM26 2019-02-01 Colgate at RPI P2, TeamShift 041",TeamShift,00:16:38.34,00:17:04.31,00:00:25.9590000,2,08:32,Even,,,,,,
435,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 076",Shift_TOI,00:16:38.49,00:17:09.52,00:00:31.0480000,2,08:31,Even,,,,,,
436,"GM26 2019-02-01 Colgate at RPI P2, RPI Possession 045",RPI Possession,00:16:38.54,00:16:49.10,00:00:10.2770000,2,08:31,Even,,,,,,
437,"GM26 2019-02-01 Colgate at RPI P2, RPI Possession 046",RPI Possession,00:16:38.58,00:16:49.15,00:00:10.2770000,2,08:31,Even,,,,,,
438,"GM26 2019-02-01 Colgate at RPI P2, Opponent Breakout 014",Opponent Breakout,00:16:45.24,00:16:52.41,00:00:07.2740000,2,8:19,Even,,,,,,
439,"GM26 2019-02-01 Colgate at RPI P2, Opponent Entry 016",Opponent Entry,00:16:45.53,00:16:55.52,00:00:09.9770000,2,8:19,Even,,LRA good 2v1 24 comm. stick on puck 08 work proper position,,,,
440,"GM26 2019-02-01 Colgate at RPI P2, Defensive Zone 013",Defensive Zone,00:16:48.39,00:17:05.22,00:00:16.7170000,2,8:18,Even,,,,,,
441,"GM26 2019-02-01 Colgate at RPI P2, Opponent Possession 043",Opponent Possession,00:16:49.53,00:17:01.19,00:00:11.4450000,2,08:20,Even,,,,,,
442,"GM26 2019-02-01 Colgate at RPI P2, Opponent Possession 044",Opponent Possession,00:16:49.57,00:17:01.23,00:00:11.4450000,2,08:20,Even,,,,,,
443,"GM26 2019-02-01 Colgate at RPI P2, Take Away 011",Take Away,00:16:54.34,00:17:09.33,00:00:14.9820000,2,8:09,Even,,,,,,
444,"GM26 2019-02-01 Colgate at RPI P2, Breakout 016",Breakout,00:16:57.24,00:17:04.36,00:00:07.2070000,2,8:07,Even,,,,,,
445,"GM26 2019-02-01 Colgate at RPI P2, Entry 019",Entry,00:16:59.50,00:17:09.49,00:00:09.9770000,2,8:05,Even,,,,,,
446,"GM26 2019-02-01 Colgate at RPI P2, Forecheck 015",Forecheck,00:17:01.29,00:17:09.16,00:00:07.7740000,2,8:05,Even,,,,,,
447,"GM26 2019-02-01 Colgate at RPI P2, RPI Possession 047",RPI Possession,00:17:01.56,00:17:06.05,00:00:04.1370000,2,08:08,Even,,,,,,
448,"GM26 2019-02-01 Colgate at RPI P2, RPI Possession 048",RPI Possession,00:17:02.00,00:17:06.09,00:00:04.1370000,2,08:08,Even,,,,,,
449,"GM26 2019-02-01 Colgate at RPI P2, NZ Forecheck 008",NZ Forecheck,00:17:03.17,00:17:15.37,00:00:12.3290000,2,8:04,Even,,,,,,
450,"GM26 2019-02-01 Colgate at RPI P2, TeamShift 042",TeamShift,00:17:04.12,00:17:09.55,00:00:05.7060000,2,08:06,Even,,,,,,
451,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 077",Shift_TOI,00:17:05.25,00:19:15.17,00:02:09.8630000,2,08:05,Even,,,,,,
452,"GM26 2019-02-01 Colgate at RPI P2, Opponent Possession 045",Opponent Possession,00:17:06.42,00:17:14.39,00:00:07.9580000,2,08:04,Even,,,,,,
453,"GM26 2019-02-01 Colgate at RPI P2, Opponent Possession 046",Opponent Possession,00:17:06.46,00:17:14.43,00:00:07.9580000,2,08:04,Even,,,,,,
454,"GM26 2019-02-01 Colgate at RPI P2, Opponent Entry 017",Opponent Entry,00:17:09.13,00:17:19.11,00:00:09.9770000,2,7:56,Even,,,,,,
455,"GM26 2019-02-01 Colgate at RPI P2, Goalie Touch 002",Goalie Touch,00:17:09.20,00:17:19.18,00:00:09.9770000,2,7:57,Even,,,,,,
456,"GM26 2019-02-01 Colgate at RPI P2, Opponent Forecheck 008",Opponent Forecheck,00:17:09.39,00:17:20.39,00:00:11.0110000,2,7:57,Even,,,,,,
457,"GM26 2019-02-01 Colgate at RPI P2, TeamShift 043",TeamShift,00:17:10.16,00:17:16.06,00:00:05.8390000,2,08:00,Even,,,,,,
