#,Name,ClipType,Media In,Media Out,Media Duration,NHL Period,Player Participation,GameClockIn,Strength,ScoutedPlayer,NonScoutedPlayer,Win/Loss,Chance?,Shot Location,Zone,FaceOffLRC,Entry Origin,Entry,Successful?,Breakout
25,"GM30 2019-02-16 Quinnipiac at RPI P3, Shift_TOI 009",Shift_TOI,00:01:47.54,00:02:00.20,00:00:12.4290000,3,"03 Samec, 04 Grant, 19 Linden, 26 Marrello, 31 Savory",19:28,4 v 5,03 Samec,,,,,,,,,,
26,"GM30 2019-02-16 Quinnipiac at RPI P3, TeamShift 002",TeamShift,00:01:48.01,00:02:00.24,00:00:12.3790000,3,"03 Samec, 04 Grant, 19 Linden, 26 Marrello, 31 Savory",19:28,4 v 5,,,,,,,,,,,
27,"GM30 2019-02-16 Quinnipiac at RPI P3, Defensive Zone 002",Defensive Zone,00:01:49.03,00:02:02.08,00:00:13.0960000,3,"03 Samec, 04 Grant, 19 Linden, 26 Marrello, 31 Savory",19:25,4 v 5,,,,,,,,,,,
28,"GM30 2019-02-16 Quinnipiac at RPI P3, SyncPoint 002",SyncPoint,00:01:49.10,00:01:51.10,00:00:02.0020000,3,,19:28,4 v 5,,,,,,,,,,,
29,"GM30 2019-02-16 Quinnipiac at RPI P3, Faceoff 002",Faceoff,00:01:49.22,00:02:02.20,00:00:12.9800000,3,"03 Samec, 04 Grant, 19 Linden, 26 Marrello, 31 Savory",19:28,4 v 5,19 Linden,18 Jermain,loss,,,dz,right,,,,
30,"GM30 2019-02-16 Quinnipiac at RPI P3, Opponent Possession 003",Opponent Possession,00:01:52.06,00:02:17.06,00:00:25.0080000,3,,19:26,4 v 5,,,,,,,,,,,
31,"GM30 2019-02-16 Quinnipiac at RPI P3, Shot Against 004",Shot Against,00:01:56.44,00:02:10.43,00:00:13.9810000,3,"03 Samec, 04 Grant, 07 Bowman, 19 Linden, 26 Marrello, 31 Savory",19:10,Even,,,,blocked,low,,,,,,
32,"GM30 2019-02-16 Quinnipiac at RPI P3, Defensive Zone 003",Defensive Zone,00:01:56.45,00:02:40.55,00:00:44.1610000,3,"03 Samec, 04 Grant, 07 Bowman, 19 Linden, 26 Marrello, 31 Savory",19:19,Even,,,,,,,,,,,
33,"GM30 2019-02-16 Quinnipiac at RPI P3, Shift_TOI 010",Shift_TOI,00:01:59.52,00:14:19.10,00:12:19.2890000,3,"04 Grant, 07 Bowman, 11 Leppanen, 19 Linden, 28 Hallbauer, 31 Savory",19:15,5 v 6,31 Savory,,,,,,,,,,
34,"GM30 2019-02-16 Quinnipiac at RPI P3, TeamShift 003",TeamShift,00:02:00.35,00:02:01.23,00:00:00.8010000,3,"03 Samec, 04 Grant, 19 Linden, 26 Marrello, 31 Savory",19:15,Even,,,,,,,,,,,
35,"GM30 2019-02-16 Quinnipiac at RPI P3, Shift_TOI 011",Shift_TOI,00:02:00.55,00:04:15.17,00:02:14.3680000,3,"03 Samec, 09 Moore, 12 Zieky, 17 Burgess, 24 Reilly, 31 Savory",19:15,Even,03 Samec,,,,,,,,,,
36,"GM30 2019-02-16 Quinnipiac at RPI P3, Shift_TOI 012",Shift_TOI,00:02:01.02,00:04:04.01,00:02:02.9730000,3,"03 Samec, 04 Grant, 07 Bowman, 19 Linden, 31 Savory",19:15,Even,19 Linden,,,,,,,,,,
37,"GM30 2019-02-16 Quinnipiac at RPI P3, Shift_TOI 013",Shift_TOI,00:02:01.04,00:04:12.22,00:02:11.2980000,3,"03 Samec, 04 Grant, 09 Moore, 12 Zieky, 17 Burgess, 31 Savory",19:15,Even,04 Grant,,,,,,,,,,
38,"GM30 2019-02-16 Quinnipiac at RPI P3, Shift_TOI 014",Shift_TOI,00:02:01.36,00:02:44.19,00:00:42.7090000,3,"03 Samec, 04 Grant, 07 Bowman, 19 Linden, 26 Marrello, 31 Savory",19:15,Even,26 Marrello,,,,,,,,,,
39,"GM30 2019-02-16 Quinnipiac at RPI P3, Shift_TOI 015",Shift_TOI,00:02:01.46,00:04:08.48,00:02:07.0270000,3,"03 Samec, 04 Grant, 07 Bowman, 09 Moore, 17 Burgess, 31 Savory",19:14,Even,07 Bowman,,,,,,,,,,
40,"GM30 2019-02-16 Quinnipiac at RPI P3, TeamShift 004",TeamShift,00:02:02.02,00:02:43.51,00:00:41.8080000,3,"03 Samec, 04 Grant, 07 Bowman, 19 Linden, 26 Marrello, 31 Savory",19:14,Even,,,,,,,,,,,
41,"GM30 2019-02-16 Quinnipiac at RPI P3, Shot Against 005",Shot Against,00:02:04.12,00:02:18.11,00:00:13.9810000,3,"03 Samec, 04 Grant, 07 Bowman, 19 Linden, 26 Marrello, 31 Savory",19:02,Even,,,,no,low,,,,,,
42,"GM30 2019-02-16 Quinnipiac at RPI P3, Goalie Touch 001",Goalie Touch,00:02:12.60,00:02:22.59,00:00:09.9770000,3,"03 Samec, 04 Grant, 07 Bowman, 19 Linden, 26 Marrello, 31 Savory",19:01,Even,,,,,,,,,,,
43,"GM30 2019-02-16 Quinnipiac at RPI P3, RPI Possession 003",RPI Possession,00:02:17.13,00:02:39.09,00:00:21.9220000,3,,19:01,Even,,,,,,,,,,,
44,"GM30 2019-02-16 Quinnipiac at RPI P3, Giveaway 001",Giveaway,00:02:21.43,00:02:36.42,00:00:14.9820000,3,"03 Samec, 04 Grant, 07 Bowman, 19 Linden, 26 Marrello, 31 Savory",18:51,Even,04 Grant,,,,,dz,,,,,
45,"GM30 2019-02-16 Quinnipiac at RPI P3, Breakout 001",Breakout,00:02:32.56,00:02:40.44,00:00:07.7910000,3,"03 Samec, 04 Grant, 07 Bowman, 19 Linden, 26 Marrello, 31 Savory",18:40,Even,,,,,,,,,,,dz coverage
46,"GM30 2019-02-16 Quinnipiac at RPI P3, NZ Forecheck 001",NZ Forecheck,00:02:36.47,00:02:49.41,00:00:12.8960000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 26 Marrello, 31 Savory",18:38,Even,,,,,,,,,,,
47,"GM30 2019-02-16 Quinnipiac at RPI P3, Opponent Entry 002",Opponent Entry,00:02:39.01,00:02:49.00,00:00:09.9770000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",18:34,Even,,,,,,,,nz,possession,yes,
48,"GM30 2019-02-16 Quinnipiac at RPI P3, Opponent Possession 004",Opponent Possession,00:02:39.19,00:02:59.39,00:00:20.3370000,3,,18:39,Even,,,,,,,,,,,
49,"GM30 2019-02-16 Quinnipiac at RPI P3, Shot Against 006",Shot Against,00:02:42.25,00:02:56.24,00:00:13.9810000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",18:24,Even,,,,wide,low,,,,,,
50,"GM30 2019-02-16 Quinnipiac at RPI P3, TeamShift 005",TeamShift,00:02:43.40,00:03:14.32,00:00:30.8640000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",18:33,Even,,,,,,,,,,,
51,"GM30 2019-02-16 Quinnipiac at RPI P3, Defensive Zone 004",Defensive Zone,00:02:43.43,00:03:04.08,00:00:20.4200000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",18:32,Even,,,,,,,,,,,
52,"GM30 2019-02-16 Quinnipiac at RPI P3, Shift_TOI 016",Shift_TOI,00:02:44.09,00:04:03.04,00:01:18.9120000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",18:32,Even,17 Burgess,,,,,,,,,,
53,"GM30 2019-02-16 Quinnipiac at RPI P3, Shot Against 007",Shot Against,00:02:45.37,00:02:59.36,00:00:13.9810000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",18:21,Even,,,,blocked,high,,,,,,
54,"GM30 2019-02-16 Quinnipiac at RPI P3, Breakout 002",Breakout,00:02:56.10,00:03:03.22,00:00:07.2070000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",18:17,Even,,,,,,,,,,,dz coverage
