#,Name,ClipType,Strength,Zone,Media Duration,Media In,Media Out,NHL Period,Breakout,Chance?,Entry,Entry Origin,GameClockIn,Successful?,Win/Loss,FaceOffLRC,Shot Location,NonScoutedPlayer,ScoutedPlayer,Player Participation,Play ID,Unique Instance ID,cBlank,cBreakouts,cClockSort,cCorsiFor,cEntryWins,cFOWins,cGameClockSort,GameId,cGoals,PlayID,cPlays,cPossessions,cSaves,cSOGs,cStrength,cZoneClears,Away Team,Home Team,Play Number,Result,HomePlayerPresence,MemberOfTeam,NHLDescription,Penalty,Period,Player ,PlayerID,Shift,ShiftEndTime,ShiftStartTime,Team,TOIPlayerName,VisitorPlayerPresence,Media Offset,Source Clip Name,Source Index,cCWins,cWWins,cDumps,cZoneClearDZ,cZoneClearEntry,cZoneClearFaceOff,Away Team Name,Graham,Jewell,Jewell Comments,Lysyj,Player Comments,Red Comments,Smith,Weber,Appert,Vines,Graham Comments,Comments ,Comments 4,Comments 5,Comments 6,Comments 7,Comments 8,Comments 9,Defense Team Abrv,Defense Team Name,Defense Team Org,DefensiveTeam,Event 1,Event 2,Event 3,GameClockEnd,GameClockStart,Game Date,Home Team Name,NHL Away Team,NHL Challenge Initiated By,NHL Challenge IsGoalOverturned,NHL Challenge Reason,NHL Challenge Team,NHL Clock Time,NHL Clock Seconds,NHL Corsi,NHL Emergency Goaltender,NHL Emergency Goaltender Team,NHL Event Distance,NHL Score Differential,NHL Event Side of Ice,NHL Event Strength,NHL Event Type,NHL Event X,NHL Event Y,NHL Event Zone,NHL Faceoff For Shot,NHL Faceoff Loser,NHL Faceoff Losing Team,NHL Faceoff Result,NHL Faceoff Winner,NHL Faceoff Winning Team,NHL Fenwick,NHL Game Code,NHL Game Date,NHL Goal Assist1,NHL Goal Assist2,NHL IsAwarded,NHL IsEmptyNet,NHL IsExtraAttacker,NHL Goalie Scored Against,NHL Goal Scorer,NHL GoalZone,NHL Home Team,NHL Penalty Type,NHL Penalty Duration,NHL Penalty Served By,NHL Poss Percent Against,NHL Poss Percent For,NHL Primary Team,NHL Primary Team Player,NHL Primary Team Player Hand,NHL Season,NHL Secondary Team,NHL Secondary Team Player,NHL Secondary Team Player Hand,NHL Shift Duration,NHL Shift Seconds,NHL Shift End,NHL Shift Start,NHL Shot Creates Rebound,NHL IsPenaltyShot,NHL IsShootout,NHL Shot Miss Creates Shot,NHL Shot Off Faceoff,NHL Shot Off Miss,NHL Shot Off Rebound,NHL Shot Reason,NHL Shots Against,NHL Shot Scoring Weight,NHL Shots For,NHL Shots Total,NHL Shot Type,NHL SNB Against,NHL SNB For,NHL SNB Total,NHL Stop Primary,NHL Stop Secondary,NHL Zone Finish,NHL Zone Start,Offense Team Abrv,Offense Team Name,Offense Team Org,OffensiveTeam,Player Minutes Defensive,Player Minutes Offensive,Player Touches,Quarter,X Result,Chance Type,GameClockDuration,GameClockInSecs,GameClockOut,GameClockOutSecs,GoodTeach,ImportClipType,Location,Meeting?,NonScoutedScore,OddManRush,Penalty Call,PKZCNextTime,Player1,Player2,Player3,Player4,Player5,Practice Drill,Primary Assist,ScoutedScore,ScoutedScoreDif,Secondary Assist,Shot Type,System,Type,CWL,DZTime,Forehand Backhand,InZoneOrigin,MPM 1a,MPM -1a,MPM 1b,MPM -1b,MPM 1c,MPM -1c,MPM 1d,MPM 3,MPM -3,MPM 5,MPM -5,MPM -1d,NZTime,OZTime,PKZCNext,PKZC Origin,WWL,TagAndDistribute00,TagAndDistribute01,TagAndDistribute02,TagAndDistribute03,TagAndDistribute04,TagAndDistribute05,TagAndDistribute06,TagAndDistribute07,TagAndDistribute08,TagAndDistribute09,TagAndDistribute10,TagAndDistribute11,TagAndDistribute12,TagAndDistribute13,TagAndDistribute14,TagAndDistribute15,TagAndDistribute16,TagAndDistribute17,TagAndDistribute18,TagAndDistribute19,GameDate_TOI,OpponentTeam_TOI,Period_TOI,PlayerName_TOI,ScoutedTeam_TOI,ScoutedWinger,ShiftDuration_TOI,ShiftDurationSec_TOI,ShiftEnd_TOI,ShiftEndSec_TOI,ShiftStart_TOI,ShiftStartSec_TOI,Strength_TOI,Player Participation Defense,Player Participation Offense
1,"GM33 2019-03-01 Harvard at RPI P2b, Game 001",Game,Even,,00:29:34.7580000,00:01:04.51,00:30:39.36,2,,,,,,,,,,,,,cacc4875-8c49-4d06-bcc5-61adefcfb150,53cc6a5f-5c2e-4338-9419-f417ab337fd8,,0,0,0,0,0,0,,0,CACC4875-8C49-4D06-BCC5-61ADEFCFB150,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:01:04.8480000,GM33 2019-03-01 Harvard at RPI P2b.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"GM33 2019-03-01 Harvard at RPI P2b, Shift_TOI 001",Shift_TOI,Even,,00:29:36.7100000,00:01:04.51,00:30:41.33,2,,,,,20:00,,,,,,31 Savory,"04 Grant, 06 Ferner, 09 Moore, 16 Hayhurst, 17 Burgess, 31 Savory",bd278d35-076c-471b-b86d-15044aa6a764,1713fa17-607e-4dae-8b65-3252d4d3e061,,0,1200,0,0,0,1200,,0,BD278D35-076C-471B-B86D-15044AA6A764,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:01:04.8480000,GM33 2019-03-01 Harvard at RPI P2b.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,00:00,0,,,,,2,,,,,,,,,,,1,-1,,,,,,0,,,,,,,,,,,,,,,1200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04 Grant, 06 Ferner, 09 Moore, 16 Hayhurst, 17 Burgess, 31 Savory"
3,"GM33 2019-03-01 Harvard at RPI P2b, SyncPoint 001",SyncPoint,Even,,00:00:02.0020000,00:01:06.37,00:01:08.37,2,,,,,20:00,,,,,,,,98cc931b-2c71-4d78-bd84-6713bff01e1b,a14023c4-38f3-4eb8-85cf-8505a50e2832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:01:06.6170000,GM33 2019-03-01 Harvard at RPI P2b.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"GM33 2019-03-01 Harvard at RPI P2b, Shift_TOI 002",Shift_TOI,Even,,00:00:55.3390000,00:01:06.39,00:02:01.59,2,,,,,20:00,,,,,,11 Leppanen,"04 Grant, 08 Gornall, 11 Leppanen, 26 Marrello, 27 Bear, 31 Savory",ce7ff7f0-fde3-4935-aa04-25205df34631,db3cce33-c111-40c6-87c6-ae7347f6843c,,0,1200,0,0,0,1200,,0,CE7FF7F0-FDE3-4935-AA04-25205DF34631,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:01:06.6500000,GM33 2019-03-01 Harvard at RPI P2b.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:04,1144,,,,,0,,,,,,,,,,,1,1,,,,,,0,,,,,,,,,,,,,,,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04 Grant, 08 Gornall, 11 Leppanen, 26 Marrello, 27 Bear, 31 Savory"
5,"GM33 2019-03-01 Harvard at RPI P2b, Shift_TOI 003",Shift_TOI,Even,,00:00:45.1450000,00:01:06.45,00:01:51.54,2,,,,,20:00,,,,,,19 Linden,"04 Grant, 11 Leppanen, 19 Linden, 27 Bear, 29 Polino, 31 Savory",dc1b2608-761e-4614-b7c5-c3cdc225efe7,ee3ac0ec-7733-4f08-b176-0ece1bcb0a1a,,0,1200,0,0,0,1200,,0,DC1B2608-761E-4614-B7C5-C3CDC225EFE7,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:01:06.7500000,GM33 2019-03-01 Harvard at RPI P2b.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:15,1155,,,,,0,,,,,,,,,,,1,1,,,,,,0,,,,,,,,,,,,,,,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04 Grant, 11 Leppanen, 19 Linden, 27 Bear, 29 Polino, 31 Savory"
6,"GM33 2019-03-01 Harvard at RPI P2b, Faceoff 001",Faceoff,Even,nz,00:00:12.9800000,00:01:06.56,00:01:19.55,2,,,,,20:00,,win,center,,23 Shore,19 Linden,"11 Leppanen, 19 Linden, 23 Johnson, 24 Reilly, 29 Polino, 31 Savory",066a878c-0043-44fc-87e7-6a61e9cd38d7,2295939d-1f58-47aa-8fdb-da97b20148b9,,0,1200,0,0,1,1200,,0,066A878C-0043-44FC-87E7-6A61E9CD38D7,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:01:06.9340000,GM33 2019-03-01 Harvard at RPI P2b.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,0,,,,,,,,,,,1,1,,,,,,,forehand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11 Leppanen, 19 Linden, 23 Johnson, 24 Reilly, 29 Polino, 31 Savory"
7,"GM33 2019-03-01 Harvard at RPI P2b, Shift_TOI 004",Shift_TOI,Even,,00:00:52.2690000,00:01:06.58,00:01:59.14,2,,,,,20:00,,,,,,29 Polino,"04 Grant, 11 Leppanen, 26 Marrello, 27 Bear, 29 Polino, 31 Savory",fce7a35f-2f8e-4048-90df-066826024644,b953c5b1-8de2-4121-88a0-5206a981086d,,0,1200,0,0,0,1200,,0,FCE7A35F-2F8E-4048-90DF-066826024644,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:01:06.9670000,GM33 2019-03-01 Harvard at RPI P2b.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:08,1148,,,,,0,,,,,,,,,,,1,1,,,,,,0,,,,,,,,,,,,,,,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04 Grant, 11 Leppanen, 26 Marrello, 27 Bear, 29 Polino, 31 Savory"
8,"GM33 2019-03-01 Harvard at RPI P2b, Shift_TOI 005",Shift_TOI,Even,,00:00:29.9630000,00:01:07.04,00:01:37.02,2,,,,,20:00,,,,,,24 Reilly,"11 Leppanen, 19 Linden, 23 Johnson, 24 Reilly, 29 Polino, 31 Savory",c95e7211-fa31-43df-9021-7b4293adad15,53fabdde-f5dc-4569-8703-1414f3ee3dc7,,0,1200,0,0,0,1200,,0,C95E7211-FA31-43DF-9021-7B4293ADAD15,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:01:07.0670000,GM33 2019-03-01 Harvard at RPI P2b.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:30,1170,,,,,0,,,,,,,,,,,1,1,,,,,,0,,,,,,,,,,,,,,,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11 Leppanen, 19 Linden, 23 Johnson, 24 Reilly, 29 Polino, 31 Savory"
9,"GM33 2019-03-01 Harvard at RPI P2b, Shift_TOI 006",Shift_TOI,Even,,00:00:29.9630000,00:01:07.04,00:01:37.02,2,,,,,20:00,,,,,,23 Johnson,"11 Leppanen, 19 Linden, 23 Johnson, 24 Reilly, 29 Polino, 31 Savory",31041b3e-e0ee-49ef-ada6-2c89bfc16d0f,bf3d82f6-9b4d-4464-89ab-d2a31f27a587,,0,1200,0,0,0,1200,,0,31041B3E-E0EE-49EF-ADA6-2C89BFC16D0F,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:01:07.0670000,GM33 2019-03-01 Harvard at RPI P2b.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:30,1170,,,,,0,,,,,,,,,,,1,1,,,,,,0,,,,,,,,,,,,,,,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11 Leppanen, 19 Linden, 23 Johnson, 24 Reilly, 29 Polino, 31 Savory"
10,"GM33 2019-03-01 Harvard at RPI P2b, TeamShift 001",TeamShift,Even,,00:00:29.8800000,00:01:07.12,00:01:37.05,2,,,,,20:00,,,,,,,"11 Leppanen, 19 Linden, 23 Johnson, 24 Reilly, 29 Polino, 31 Savory",bb4ef683-d3d8-4014-9c24-2ae363be11af,065964a0-9735-4c5e-ac8e-9d8218409bc8,,0,1200,0,0,0,1200,,0,BB4EF683-D3D8-4014-9C24-2AE363BE11AF,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:01:07.2010000,GM33 2019-03-01 Harvard at RPI P2b.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:30,1170,,,,,0,,,,,,,,,,,1,1,,,,,,0,,,,,,,,,,,,,,,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11 Leppanen, 19 Linden, 23 Johnson, 24 Reilly, 29 Polino, 31 Savory"
