#,Name,ClipType,Strength,Zone,Media Duration,Media In,Media Out,NHL Period,Breakout,Chance?,Entry,Entry Origin,GameClockIn,Successful?,Win/Loss,FaceOffLRC,Shot Location,NonScoutedPlayer,ScoutedPlayer,Player Participation,Play ID,Unique Instance ID,cBlank,cBreakouts,cClockSort,cCorsiFor,cEntryWins,cFOWins,cGameClockSort,GameId,cGoals,PlayID,cPlays,cPossessions,cSaves,cSOGs,cStrength,cZoneClears,Away Team,Home Team,Play Number,Result,HomePlayerPresence,MemberOfTeam,NHLDescription,Penalty,Period,Player ,PlayerID,Shift,ShiftEndTime,ShiftStartTime,Team,TOIPlayerName,VisitorPlayerPresence,Media Offset,Source Clip Name,Source Index,cCWins,cWWins,cDumps,cZoneClearDZ,cZoneClearEntry,cZoneClearFaceOff,Away Team Name,Graham,Jewell,Jewell Comments,Lysyj,Player Comments,Red Comments,Smith,Weber,Appert,Vines,Graham Comments,Comments ,Comments 4,Comments 5,Comments 6,Comments 7,Comments 8,Comments 9,Defense Team Abrv,Defense Team Name,Defense Team Org,DefensiveTeam,Event 1,Event 2,Event 3,GameClockEnd,GameClockStart,Game Date,Home Team Name,NHL Away Team,NHL Challenge Initiated By,NHL Challenge IsGoalOverturned,NHL Challenge Reason,NHL Challenge Team,NHL Clock Time,NHL Clock Seconds,NHL Corsi,NHL Emergency Goaltender,NHL Emergency Goaltender Team,NHL Event Distance,NHL Score Differential,NHL Event Side of Ice,NHL Event Strength,NHL Event Type,NHL Event X,NHL Event Y,NHL Event Zone,NHL Faceoff For Shot,NHL Faceoff Loser,NHL Faceoff Losing Team,NHL Faceoff Result,NHL Faceoff Winner,NHL Faceoff Winning Team,NHL Fenwick,NHL Game Code,NHL Game Date,NHL Goal Assist1,NHL Goal Assist2,NHL IsAwarded,NHL IsEmptyNet,NHL IsExtraAttacker,NHL Goalie Scored Against,NHL Goal Scorer,NHL GoalZone,NHL Home Team,NHL Penalty Type,NHL Penalty Duration,NHL Penalty Served By,NHL Poss Percent Against,NHL Poss Percent For,NHL Primary Team,NHL Primary Team Player,NHL Primary Team Player Hand,NHL Season,NHL Secondary Team,NHL Secondary Team Player,NHL Secondary Team Player Hand,NHL Shift Duration,NHL Shift Seconds,NHL Shift End,NHL Shift Start,NHL Shot Creates Rebound,NHL IsPenaltyShot,NHL IsShootout,NHL Shot Miss Creates Shot,NHL Shot Off Faceoff,NHL Shot Off Miss,NHL Shot Off Rebound,NHL Shot Reason,NHL Shots Against,NHL Shot Scoring Weight,NHL Shots For,NHL Shots Total,NHL Shot Type,NHL SNB Against,NHL SNB For,NHL SNB Total,NHL Stop Primary,NHL Stop Secondary,NHL Zone Finish,NHL Zone Start,Offense Team Abrv,Offense Team Name,Offense Team Org,OffensiveTeam,Player Minutes Defensive,Player Minutes Offensive,Player Touches,Quarter,X Result,Chance Type,GameClockDuration,GameClockInSecs,GameClockOut,GameClockOutSecs,GoodTeach,ImportClipType,Location,Meeting?,NonScoutedScore,OddManRush,Penalty Call,PKZCNextTime,Player1,Player2,Player3,Player4,Player5,Practice Drill,Primary Assist,ScoutedScore,ScoutedScoreDif,Secondary Assist,Shot Type,System,Type,CWL,DZTime,Forehand Backhand,InZoneOrigin,MPM 1a,MPM -1a,MPM 1b,MPM -1b,MPM 1c,MPM -1c,MPM 1d,MPM 3,MPM -3,MPM 5,MPM -5,MPM -1d,NZTime,OZTime,PKZCNext,PKZC Origin,WWL,TagAndDistribute00,TagAndDistribute01,TagAndDistribute02,TagAndDistribute03,TagAndDistribute04,TagAndDistribute05,TagAndDistribute06,TagAndDistribute07,TagAndDistribute08,TagAndDistribute09,TagAndDistribute10,TagAndDistribute11,TagAndDistribute12,TagAndDistribute13,TagAndDistribute14,TagAndDistribute15,TagAndDistribute16,TagAndDistribute17,TagAndDistribute18,TagAndDistribute19,GameDate_TOI,OpponentTeam_TOI,Period_TOI,PlayerName_TOI,ScoutedTeam_TOI,ScoutedWinger,ShiftDuration_TOI,ShiftDurationSec_TOI,ShiftEnd_TOI,ShiftEndSec_TOI,ShiftStart_TOI,ShiftStartSec_TOI,Strength_TOI,Player Participation Defense,Player Participation Offense
1,"GM33 2019-03-01 Harvard at RPI P3, SyncPoint 001",SyncPoint,Even,,00:00:02.0020000,00:00:56.34,00:00:58.34,3,,,,,20:00,,,,,,,,d6c549eb-aaad-4ac7-84cb-7675084eca00,8450403d-ef76-4192-a5c4-6c3f842370c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:56.5730000,GM33 2019-03-01 Harvard at RPI P3.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"GM33 2019-03-01 Harvard at RPI P3, Faceoff 001",Faceoff,Even,nz,00:00:12.9800000,00:00:56.45,00:01:09.44,3,,,,,20:00,,win,center,,23 Shore,19 Linden,,5524cb16-cfa2-43f9-931d-81b770f7c5f6,5eb5a927-ec0e-4f9c-a7b2-853c0b33a279,,0,1200,0,0,1,1200,,0,5524CB16-CFA2-43F9-931D-81B770F7C5F6,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:00:56.7570000,GM33 2019-03-01 Harvard at RPI P3.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,2,,,,,,,,,,,1,-1,,,,,,,forehand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"GM33 2019-03-01 Harvard at RPI P3, Game 001",Game,Even,,00:27:38.1410000,00:00:56.45,00:28:34.54,3,,,,,,,,,,,,,f3621775-53ef-49fb-8263-8306cb834155,ce5ccc83-2191-4534-9434-3dbf2a8c599f,,0,0,0,0,0,0,,0,F3621775-53EF-49FB-8263-8306CB834155,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:00:56.7570000,GM33 2019-03-01 Harvard at RPI P3.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"GM33 2019-03-01 Harvard at RPI P3, Shift_TOI 001",Shift_TOI,Even,,00:00:44.6450000,00:00:57.38,00:01:42.17,3,,,,,20:00,,,,,,04 Grant,"04 Grant, 11 Leppanen, 19 Linden, 27 Bear, 29 Polino, 31 Savory",0ebbb018-a34a-4a1f-8d9f-cc60250602b0,0127e0af-2c93-48e3-8708-794a9957fcfd,,0,1200,0,0,0,1200,,0,0EBBB018-A34A-4A1F-8D9F-CC60250602B0,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:00:57.6410000,GM33 2019-03-01 Harvard at RPI P3.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:18,1158,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04 Grant, 11 Leppanen, 19 Linden, 27 Bear, 29 Polino, 31 Savory"
5,"GM33 2019-03-01 Harvard at RPI P3, Shift_TOI 002",Shift_TOI,Even,,00:00:44.6450000,00:00:57.38,00:01:42.17,3,,,,,20:00,,,,,,27 Bear,"04 Grant, 11 Leppanen, 19 Linden, 27 Bear, 29 Polino, 31 Savory",d615cfb8-581f-439e-bade-70935ae3f422,aa883ba8-09c2-4d11-9a92-8e3417816ae5,,0,1200,0,0,0,1200,,0,D615CFB8-581F-439E-BADE-70935AE3F422,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:00:57.6410000,GM33 2019-03-01 Harvard at RPI P3.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:18,1158,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04 Grant, 11 Leppanen, 19 Linden, 27 Bear, 29 Polino, 31 Savory"
6,"GM33 2019-03-01 Harvard at RPI P3, Shift_TOI 003",Shift_TOI,Even,,00:00:48.0810000,00:00:57.38,00:01:45.43,3,,,,,20:00,,,,,,19 Linden,"04 Grant, 11 Leppanen, 19 Linden, 23 Johnson, 24 Reilly, 27 Bear, 29 Polino, 31 Savory",4e26474b-19ff-4da7-a3eb-fd874e6bb134,c48e7d69-f126-421c-8ef8-8ee238ec65ca,,0,1200,0,0,0,1200,,0,4E26474B-19FF-4DA7-A3EB-FD874E6BB134,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:00:57.6410000,GM33 2019-03-01 Harvard at RPI P3.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:15,1155,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04 Grant, 11 Leppanen, 19 Linden, 23 Johnson, 24 Reilly, 27 Bear, 29 Polino, 31 Savory"
7,"GM33 2019-03-01 Harvard at RPI P3, Shift_TOI 004",Shift_TOI,Even,,00:00:56.2730000,00:00:57.38,00:01:53.55,3,,,,,20:00,,,,,,29 Polino,"04 Grant, 11 Leppanen, 19 Linden, 21 Wiffen, 23 Johnson, 24 Reilly, 26 Marrello, 27 Bear, 29 Polino, 31 Savory",37d83c77-97fc-413a-b732-9d335f027154,41136c91-b31a-46b4-afc4-d46eb444ce7a,,0,1200,0,0,0,1200,,0,37D83C77-97FC-413A-B732-9D335F027154,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:00:57.6410000,GM33 2019-03-01 Harvard at RPI P3.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:07,1147,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04 Grant, 11 Leppanen, 19 Linden, 21 Wiffen, 23 Johnson, 24 Reilly, 26 Marrello, 27 Bear, 29 Polino, 31 Savory"
8,"GM33 2019-03-01 Harvard at RPI P3, Shift_TOI 005",Shift_TOI,Even,,00:00:50.0500000,00:00:57.38,00:01:47.41,3,,,,,20:00,,,,,,11 Leppanen,"04 Grant, 11 Leppanen, 19 Linden, 23 Johnson, 24 Reilly, 26 Marrello, 27 Bear, 29 Polino, 31 Savory",1065d5c6-4e2c-4ed1-ab53-29ffc8091419,77e1401e-e1ed-4f81-bce0-e293ca48ddc8,,0,1200,0,0,0,1200,,0,1065D5C6-4E2C-4ED1-AB53-29FFC8091419,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:00:57.6410000,GM33 2019-03-01 Harvard at RPI P3.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:13,1153,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04 Grant, 11 Leppanen, 19 Linden, 23 Johnson, 24 Reilly, 26 Marrello, 27 Bear, 29 Polino, 31 Savory"
9,"GM33 2019-03-01 Harvard at RPI P3, Shift_TOI 006",Shift_TOI,Even,,00:02:13.0330000,00:00:57.38,00:03:10.40,3,,,,,20:00,,,,,,31 Savory,"04 Grant, 06 Ferner, 08 Gornall, 11 Leppanen, 13 Lee, 16 Hayhurst, 19 Linden, 21 Wiffen, 23 Johnson, 24 Reilly, 26 Marrello, 27 Bear, 28 Hallbauer, 29 Polino, 31 Savory, 39 Lacka",fbb020b5-b603-4dad-b04b-7dcd6aee1214,43e57a39-4731-4d49-9142-dd5398f47ce2,,0,1200,0,0,0,1200,,0,FBB020B5-B603-4DAD-B04B-7DCD6AEE1214,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:00:57.6410000,GM33 2019-03-01 Harvard at RPI P3.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,18:16,1096,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04 Grant, 06 Ferner, 08 Gornall, 11 Leppanen, 13 Lee, 16 Hayhurst, 19 Linden, 21 Wiffen, 23 Johnson, 24 Reilly, 26 Marrello, 27 Bear, 28 Hallbauer, 29 Polino, 31 Savory, 39 Lacka"
10,"GM33 2019-03-01 Harvard at RPI P3, TeamShift 001",TeamShift,Even,,00:00:41.5420000,00:00:57.40,00:01:39.13,3,,,,,20:00,,,,,,,"04 Grant, 11 Leppanen, 19 Linden, 27 Bear, 29 Polino, 31 Savory",ef6e3ead-c917-4778-b793-290a5f56fcef,6703e276-1cb6-46fe-a387-14f8f54a9a56,,0,1200,0,0,0,1200,,0,EF6E3EAD-C917-4778-B793-290A5F56FCEF,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:00:57.6740000,GM33 2019-03-01 Harvard at RPI P3.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:18,1158,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04 Grant, 11 Leppanen, 19 Linden, 27 Bear, 29 Polino, 31 Savory"
