,Game,Period,Time,Event,Poss,EventPoss
346,1,1,0.007411227,Opponent_entry,Colgate,
179,1,1,0.007422685,Defensive_zone,Colgate,
60,1,1,0.0074235,OppoPoss,Colgate,
145,1,1,0.007582755,Breakout,Colgate,
14,1,1,0.00759155,RPIPoss,RPI,
276,1,1,0.00759919,NZ_forecheck,RPI,
61,1,1,0.00764433,OppoPoss,Colgate,
288,1,1,0.007689931,NZ_offense,Colgate,
15,1,1,0.00772326,RPIPoss,RPI,
249,1,1,0.007770023,Forecheck,RPI,
196,1,1,0.007771759,Entry,RPI,
62,1,1,0.00785046,OppoPoss,Colgate,
317,1,1,0.007851968,Opponent_breakout,Colgate,
347,1,1,0.00788831,Opponent_entry,Colgate,
146,1,1,0.007908681,Breakout,Colgate,
16,1,1,0.0079169,RPIPoss,RPI,
197,1,1,0.007931019,Entry,RPI,
297,1,1,0.007940509,Offensive_zone,RPI,
96,1,1,0.00797222,Shot_for,RPI,RPI
137,1,1,0.007991088,Takeaway,RPI,Colgate
63,1,1,0.00810347,OppoPoss,Colgate,
318,1,1,0.008163194,Opponent_breakout,Colgate,
348,1,1,0.008196759,Opponent_entry,Colgate,
180,1,1,0.008232639,Defensive_zone,Colgate,
117,1,1,0.00825914,Shot_against,Colgate,Colgate
17,1,1,0.00832685,RPIPoss,RPI,
147,1,1,0.008335185,Breakout,RPI,
250,1,1,0.008359722,Forecheck,RPI,
198,1,1,0.008362731,Entry,RPI,
64,1,1,0.00845417,OppoPoss,Colgate,
298,1,1,0.008463194,Offensive_zone,Colgate,
97,1,1,0.00850382,Shot_for,Colgate,RPI
319,1,1,0.008546991,Opponent_breakout,Colgate,
369,1,1,0.008600694,Opponent_forecheck,Colgate,
148,1,1,0.00860625,Breakout,Colgate,
199,1,1,0.008634838,Entry,Colgate,
299,1,1,0.008638773,Offensive_zone,Colgate,
18,1,1,0.00865868,RPIPoss,RPI,
98,1,1,0.0086765,Shot_for,RPI,RPI
227,1,1,0.009089931,Faceoff,RPI,
277,1,1,0.009101389,NZ_forecheck,RPI,
65,1,1,0.00914282,OppoPoss,Colgate,
370,1,1,0.009147801,Opponent_forecheck,Colgate,
349,1,1,0.009155787,Opponent_entry,Colgate,
261,1,1,0.009179167,Goalie_touch,Colgate,
19,1,1,0.00921551,RPIPoss,RPI,
66,1,1,0.00926354,OppoPoss,Colgate,
149,1,1,0.009277199,Breakout,Colgate,
371,1,1,0.009317245,Opponent_forecheck,Colgate,
350,1,1,0.00931875,Opponent_entry,Colgate,
262,1,1,0.009342824,Goalie_touch,Colgate,
20,1,1,0.009389,RPIPoss,RPI,
150,1,1,0.009423148,Breakout,RPI,
200,1,1,0.009494792,Entry,RPI,
228,1,1,0.01032662,Faceoff,RPI,
278,1,1,0.010338079,NZ_forecheck,RPI,
67,1,1,0.01037095,OppoPoss,Colgate,
351,1,1,0.010420023,Opponent_entry,Colgate,
151,1,1,0.010488426,Breakout,Colgate,
21,1,1,0.01049167,RPIPoss,RPI,
201,1,1,0.01051331,Entry,RPI,
229,1,1,0.010825463,Faceoff,RPI,
251,1,1,0.010850347,Forecheck,RPI,
202,1,1,0.01085706,Entry,RPI,
68,1,1,0.01089317,OppoPoss,Colgate,
320,1,1,0.010966088,Opponent_breakout,Colgate,
352,1,1,0.011080093,Opponent_entry,Colgate,
230,1,1,0.011434144,Faceoff,Colgate,
181,1,1,0.011438773,Defensive_zone,Colgate,
118,1,1,0.01145532,Shot_against,Colgate,Colgate
22,1,1,0.01148345,RPIPoss,RPI,
69,1,1,0.01154525,OppoPoss,Colgate,
152,1,1,0.011575926,Breakout,Colgate,
23,1,1,0.01159942,RPIPoss,RPI,
203,1,1,0.011611227,Entry,RPI,
321,1,1,0.011705787,Opponent_breakout,RPI,
70,1,1,0.01171609,OppoPoss,Colgate,
353,1,1,0.01173912,Opponent_entry,Colgate,
372,1,1,0.011761343,Opponent_forecheck,Colgate,
129,1,1,0.011820833,Giveaway,Colgate,RPI
153,1,1,0.011866667,Breakout,Colgate,
71,1,1,0.01188773,OppoPoss,Colgate,
279,1,1,0.011915162,NZ_forecheck,Colgate,
322,1,1,0.01193912,Opponent_breakout,Colgate,
373,1,1,0.012083912,Opponent_forecheck,Colgate,
354,1,1,0.012085764,Opponent_entry,Colgate,
231,1,1,0.012400926,Faceoff,Colgate,
323,1,1,0.012433333,Opponent_breakout,Colgate,
72,1,1,0.01245475,OppoPoss,Colgate,
374,1,1,0.012549074,Opponent_forecheck,Colgate,
355,1,1,0.012564236,Opponent_entry,Colgate,
154,1,1,0.012618403,Breakout,Colgate,
24,1,1,0.0126265,RPIPoss,RPI,
204,1,1,0.012690394,Entry,RPI,
130,1,1,0.012702546,Giveaway,RPI,RPI
280,1,1,0.012712269,NZ_forecheck,RPI,
375,1,1,0.012723264,Opponent_forecheck,RPI,
73,1,1,0.01272419,OppoPoss,Colgate,
356,1,1,0.012725231,Opponent_entry,Colgate,
263,1,1,0.012746412,Goalie_touch,Colgate,
182,1,1,0.013557176,Defensive_zone,Colgate,
232,1,1,0.013576389,Faceoff,Colgate,
119,1,1,0.01358565,Shot_against,Colgate,Colgate
74,1,1,0.01361632,OppoPoss,Colgate,
120,1,1,0.01361863,Shot_against,Colgate,Colgate
155,1,1,0.013640046,Breakout,Colgate,
25,1,1,0.01366852,RPIPoss,RPI,
289,1,1,0.013763773,NZ_offense,RPI,
205,1,1,0.013837037,Entry,RPI,
252,1,1,0.013867245,Forecheck,RPI,
206,1,1,0.013871991,Entry,RPI,
75,1,1,0.01392488,OppoPoss,Colgate,
324,1,1,0.013962616,Opponent_breakout,Colgate,
290,1,1,0.014006597,NZ_offense,Colgate,
26,1,1,0.0140169,RPIPoss,RPI,
76,1,1,0.01411296,OppoPoss,Colgate,
383,1,1,0.014125,Penalty,Colgate,
387,1,1,0.016265856,Power_play,Colgate,
233,1,1,0.016277431,Faceoff,Colgate,
300,1,1,0.016308449,Offensive_zone,Colgate,
27,1,1,0.01631343,RPIPoss,RPI,
325,1,1,0.016370139,Opponent_breakout,RPI,
77,1,1,0.01639167,OppoPoss,Colgate,
264,1,1,0.016437616,Goalie_touch,Colgate,
156,1,1,0.016452662,Breakout,Colgate,
28,1,1,0.01649294,RPIPoss,RPI,
253,1,1,0.016507523,Forecheck,RPI,
207,1,1,0.016510764,Entry,RPI,
29,1,1,0.01660938,RPIPoss,RPI,
326,1,1,0.016622685,Opponent_breakout,RPI,
291,1,1,0.016634838,NZ_offense,RPI,
30,1,1,0.01665995,RPIPoss,RPI,
254,1,1,0.016705208,Forecheck,RPI,
208,1,1,0.016706944,Entry,RPI,
327,1,1,0.016759722,Opponent_breakout,RPI,
78,1,1,0.01676389,OppoPoss,Colgate,
265,1,1,0.016821644,Goalie_touch,Colgate,
157,1,1,0.016844792,Breakout,Colgate,
31,1,1,0.01686829,RPIPoss,RPI,
209,1,1,0.016912269,Entry,RPI,
234,1,1,0.017203356,Faceoff,RPI,
292,1,1,0.017227431,NZ_offense,RPI,
210,1,1,0.017239931,Entry,RPI,
32,1,1,0.01725602,RPIPoss,RPI,
301,1,1,0.017297454,Offensive_zone,RPI,
99,1,1,0.01740278,Shot_for,RPI,RPI
100,1,1,0.01763762,Shot_for,RPI,RPI
101,1,1,0.0177397,Shot_for,RPI,RPI
235,1,1,0.017998264,Faceoff,RPI,
302,1,1,0.018034838,Offensive_zone,RPI,
33,1,1,0.0180353,RPIPoss,RPI,
102,1,1,0.01836736,Shot_for,RPI,RPI
103,1,1,0.01848391,Shot_for,RPI,RPI
328,1,1,0.018582523,Opponent_breakout,RPI,
266,1,1,0.018634722,Goalie_touch,RPI,
158,1,1,0.018659954,Breakout,RPI,
255,1,1,0.018774421,Forecheck,RPI,
211,1,1,0.018778819,Entry,RPI,
303,1,1,0.018824074,Offensive_zone,RPI,
104,1,1,0.01893218,Shot_for,RPI,RPI
329,1,1,0.018938426,Opponent_breakout,RPI,
79,1,1,0.01896979,OppoPoss,Colgate,
159,1,1,0.019135532,Breakout,Colgate,
212,1,1,0.019166898,Entry,Colgate,
34,1,1,0.01917037,RPIPoss,RPI,
304,1,1,0.01920463,Offensive_zone,RPI,
105,1,1,0.01939236,Shot_for,RPI,RPI
80,1,1,0.01942106,OppoPoss,Colgate,
131,1,1,0.019434722,Giveaway,Colgate,RPI
35,1,1,0.01944537,RPIPoss,RPI,
330,1,1,0.019448495,Opponent_breakout,RPI,
267,1,1,0.019506481,Goalie_touch,RPI,
160,1,1,0.019540162,Breakout,RPI,
256,1,1,0.019595255,Forecheck,RPI,
213,1,1,0.019598843,Entry,RPI,
81,1,1,0.01965718,OppoPoss,Colgate,
331,1,1,0.019671065,Opponent_breakout,Colgate,
257,1,1,0.019733796,Forecheck,Colgate,
305,1,1,0.01983206,Offensive_zone,Colgate,
36,1,1,0.01983866,RPIPoss,RPI,
82,1,1,0.01987188,OppoPoss,Colgate,
37,1,1,0.0198897,RPIPoss,RPI,
106,1,1,0.01997407,Shot_for,RPI,RPI
236,1,1,0.020245023,Faceoff,RPI,
306,1,1,0.020261111,Offensive_zone,RPI,
107,1,1,0.02028553,Shot_for,RPI,RPI
237,1,1,0.020705324,Faceoff,RPI,
281,1,1,0.020723148,NZ_forecheck,RPI,
83,1,1,0.02074259,OppoPoss,Colgate,
268,1,1,0.020770486,Goalie_touch,Colgate,
161,1,1,0.020803704,Breakout,Colgate,
38,1,1,0.02081435,RPIPoss,RPI,
214,1,1,0.020857523,Entry,RPI,
307,1,1,0.020881366,Offensive_zone,RPI,
108,1,1,0.02094468,Shot_for,RPI,RPI
332,1,1,0.020972685,Opponent_breakout,RPI,
84,1,1,0.02099757,OppoPoss,Colgate,
238,1,1,0.021241782,Faceoff,Colgate,
333,1,1,0.021279167,Opponent_breakout,Colgate,
85,1,1,0.0213103,OppoPoss,Colgate,
376,1,1,0.021311458,Opponent_forecheck,Colgate,
357,1,1,0.021319444,Opponent_entry,Colgate,
384,1,1,0.021342824,Penalty,Colgate,
162,1,1,0.021367708,Breakout,Colgate,
386,1,1,0.021809838,Penalty_kill,Colgate,
239,1,1,0.021821065,Faceoff,Colgate,
282,1,1,0.021915625,NZ_forecheck,Colgate,
86,1,1,0.02196169,OppoPoss,Colgate,
377,1,1,0.021970833,Opponent_forecheck,Colgate,
358,1,1,0.021972454,Opponent_entry,Colgate,
