Time,Event,Poss
0.00150463,,RPI
0.0016331,,RPI
0.00186458,,RPI
0.00196991,,RPI
0.00215394,,RPI
0.0034375,,RPI
0.00352431,,RPI
0.00379745,,RPI
0.00390394,,RPI
0.0042037,,RPI
0.00429514,,RPI
0.00461921,,RPI
0.00469097,,RPI
0.00483912,,RPI
0.00522106,,RPI
0.00566319,,RPI
0.0062963,,RPI
0.00649653,,RPI
0.00656713,,RPI
0.00851157,,RPI
0.0085706,,RPI
0.00882292,,RPI
0.00943519,,RPI
0.00953125,,RPI
0.01022338,,RPI
0.01037384,,RPI
0.01056829,,RPI
0.01084838,,RPI
0.01097569,,RPI
0.01105556,,RPI
0.01154398,,RPI
0.0116794,,RPI
0.01180671,,RPI
0.01214583,,RPI
0.01238889,,RPI
0.01280324,,RPI
0.01296412,,RPI
0.01442361,,RPI
0.01513079,,RPI
0.01559259,,RPI
0.01569907,,RPI
0.01580208,,RPI
0.01611343,,RPI
0.01623958,,RPI
0.01670139,,RPI
0.01690162,,RPI
0.01822917,,RPI
0.01840278,,RPI
0.01897569,,RPI
0.01903935,,RPI
0.01926042,,RPI
0.01946759,,RPI
0.0196412,,RPI
0.02000347,,RPI
0.02023148,,RPI
0.0204919,,RPI
0.02105556,,RPI
0.02170486,,RPI
0.02187963,,RPI
0.02253356,,RPI
0.02297338,,RPI
0.02335648,,RPI
0.02338542,,RPI
0.02377431,,RPI
0.00106481,,Qpac
0.00140509,,Qpac
0.00152199,,Qpac
0.00177546,,Qpac
0.00193634,,Qpac
0.00202083,,Qpac
0.00298958,,Qpac
0.00347338,,Qpac
0.00364583,,Qpac
0.00388426,,Qpac
0.00393634,,Qpac
0.00422685,,Qpac
0.00438889,,Qpac
0.00465741,,Qpac
0.00473958,,Qpac
0.00490278,,Qpac
0.00562731,,Qpac
0.00579051,,Qpac
0.00630093,,Qpac
0.00653356,,Qpac
0.00704398,,Qpac
0.00841898,,Qpac
0.0085544,,Qpac
0.00861227,,Qpac
0.00920833,,Qpac
0.0094456,,Qpac
0.00958565,,Qpac
0.01016898,,Qpac
0.01029167,,Qpac
0.01052199,,Qpac
0.01061921,,Qpac
0.01087153,,Qpac
0.01102431,,Qpac
0.01148611,,Qpac
0.01158102,,Qpac
0.0116956,,Qpac
0.01181134,,Qpac
0.01228704,,Qpac
0.01266667,,Qpac
0.0128287,,Qpac
0.0129294,,Qpac
0.0129919,,Qpac
0.01457755,,Qpac
0.01507292,,Qpac
0.01518519,,Qpac
0.01565394,,Qpac
0.01575926,,Qpac
0.01581713,,Qpac
0.01613657,,Qpac
0.01631366,,Qpac
0.01678472,,Qpac
0.01699653,,Qpac
0.01818287,,Qpac
0.01833912,,Qpac
0.01901852,,Qpac
0.01914468,,Qpac
0.01939236,,Qpac
0.01958912,,Qpac
0.0198669,,Qpac
0.02018981,,Qpac
0.02040741,,Qpac
0.021,,Qpac
0.02175116,,Qpac
0.02247917,,Qpac
0.02293056,,Qpac
0.02309375,,Qpac
0.02335995,,Qpac
0.02370486,,Qpac
0.00235995,Shot_for,
0.00369907,Shot_for,
0.00382407,Shot_for,
0.01049884,Shot_for,
0.01158912,Shot_for,
0.0125463,Shot_for,
0.01846296,Shot_for,
0.0190081,Shot_for,
0.01951736,Shot_for,
0.02015278,Shot_for,
0.02031829,Shot_for,
0.02198148,Shot_for,
0.02199769,Shot_for,
0.02361458,Shot_for,
0.00211343,Shot_against,
0.00214699,Shot_against,
0.00441204,Shot_against,
0.00445602,Shot_against,
0.00516551,Shot_against,
0.00521991,Shot_against,
0.00562847,Shot_against,
0.00645255,Shot_against,
0.00655208,Shot_against,
0.00705324,Shot_against,
