Time,Event,Poss
0.00121713,,RPI
0.00131921,,RPI
0.00182778,,RPI
0.00261944,,RPI
0.00312431,,RPI
0.00335648,,RPI
0.00365046,,RPI
0.00373125,,RPI
0.00403275,,RPI
0.00451308,,RPI
0.00472778,,RPI
0.00514109,,RPI
0.00561586,,RPI
0.00759155,,RPI
0.00772326,,RPI
0.0079169,,RPI
0.00832685,,RPI
0.00865868,,RPI
0.00921551,,RPI
0.009389,,RPI
0.01049167,,RPI
0.01148345,,RPI
0.01159942,,RPI
0.0126265,,RPI
0.01366852,,RPI
0.0140169,,RPI
0.01631343,,RPI
0.01649294,,RPI
0.01660938,,RPI
0.01665995,,RPI
0.01686829,,RPI
0.01725602,,RPI
0.0180353,,RPI
0.01917037,,RPI
0.01944537,,RPI
0.01983866,,RPI
0.0198897,,RPI
0.02081435,,RPI
0.02367095,,RPI
0.024039,,RPI
0.02423762,,RPI
0.02439873,,RPI
0.0008691,,Colgate
0.00088113,,Colgate
0.00128484,,Colgate
0.00138796,,Colgate
0.00171458,,Colgate
0.00184294,,Colgate
0.0024684,,Colgate
0.00307905,,Colgate
0.00324294,,Colgate
0.00369618,,Colgate
0.00384838,,Colgate
0.00400694,,Colgate
0.00411053,,Colgate
0.00498958,,Colgate
0.00557824,,Colgate
0.0056978,,Colgate
0.00644664,,Colgate
0.0074235,,Colgate
0.00764433,,Colgate
0.00785046,,Colgate
0.00810347,,Colgate
0.00845417,,Colgate
0.00914282,,Colgate
0.00926354,,Colgate
0.01037095,,Colgate
0.01089317,,Colgate
0.01154525,,Colgate
0.01171609,,Colgate
0.01188773,,Colgate
0.01245475,,Colgate
0.01272419,,Colgate
0.01361632,,Colgate
0.01392488,,Colgate
0.01411296,,Colgate
0.01639167,,Colgate
0.01676389,,Colgate
0.01896979,,Colgate
0.01942106,,Colgate
0.01965718,,Colgate
0.01987188,,Colgate
0.02074259,,Colgate
0.02099757,,Colgate
0.0213103,,Colgate
0.02196169,,Colgate
0.02268634,,Colgate
0.02362303,,Colgate
0.02370764,,Colgate
0.024136,,Colgate
0.02433252,,Colgate
0.02460556,,Colgate
0.00126956,Shot_for,
0.00418912,Shot_for,
0.00489375,Shot_for,
0.00797222,Shot_for,
0.00850382,Shot_for,
0.0086765,Shot_for,
0.01740278,Shot_for,
0.01763762,Shot_for,
0.0177397,Shot_for,
0.01836736,Shot_for,
0.01848391,Shot_for,
0.01893218,Shot_for,
0.01939236,Shot_for,
0.01997407,Shot_for,
0.02028553,Shot_for,
0.02094468,Shot_for,
0.02429132,Shot_for,
0.00109444,Shot_against,
0.0011419,Shot_against,
0.00303773,Shot_against,
0.00507847,Shot_against,
0.00525914,Shot_against,
0.00668275,Shot_against,
0.00698623,Shot_against,
0.00825914,Shot_against,
0.01145532,Shot_against,
0.01358565,Shot_against,
0.01361863,Shot_against,
0.02218125,Shot_against,
0.02220301,Shot_against,
0.02389861,Shot_against,
0.02390949,Shot_against,
0.001820023,Giveaway,
0.001866088,Giveaway,
0.003068519,Giveaway,
0.00480544,Giveaway,
0.011820833,Giveaway,
0.012702546,Giveaway,
0.019434722,Giveaway,
0.024090162,Giveaway,
0.00128912,Takeaway,
0.001846296,Takeaway,
0.004109606,Takeaway,
0.005789352,Takeaway,
0.007991088,Takeaway,
0.001183565,Breakout,
0.001809259,Breakout,
0.003106944,Breakout,
0.003732176,Breakout,
0.003974653,Breakout,
0.004713773,Breakout,
0.005639815,Breakout,
0.007582755,Breakout,
0.007908681,Breakout,
0.008335185,Breakout,
0.00860625,Breakout,
0.009277199,Breakout,
0.009423148,Breakout,
0.010488426,Breakout,
0.011575926,Breakout,
0.011866667,Breakout,
0.012618403,Breakout,
0.013640046,Breakout,
0.016452662,Breakout,
0.016844792,Breakout,
0.018659954,Breakout,
0.019135532,Breakout,
0.019540162,Breakout,
0.020803704,Breakout,
0.021367708,Breakout,
0.022354051,Breakout,
0.023125347,Breakout,
0.024016551,Breakout,
0.024213426,Breakout,
0.024392593,Breakout,
0.00104456,Defensive_zone,
0.001114005,Defensive_zone,
0.001980093,Defensive_zone,
0.002224537,Defensive_zone,
0.003014236,Defensive_zone,
0.003658218,Defensive_zone,
0.003924769,Defensive_zone,
0.004647454,Defensive_zone,
0.00506088,Defensive_zone,
0.005234375,Defensive_zone,
0.006428009,Defensive_zone,
0.007422685,Defensive_zone,
0.008232639,Defensive_zone,
0.011438773,Defensive_zone,
0.013557176,Defensive_zone,
0.022107176,Defensive_zone,
0.022700347,Defensive_zone,
0.023721412,Defensive_zone,
0.000919676,Entry,
0.001199074,Entry,
0.001841319,Entry,
0.002676852,Entry,
0.003186806,Entry,
0.003763657,Entry,
0.004011111,Entry,
0.004749306,Entry,
0.005189931,Entry,
0.005673495,Entry,
0.007771759,Entry,
0.007931019,Entry,
0.008362731,Entry,
0.008634838,Entry,
0.009494792,Entry,
0.01051331,Entry,
0.01085706,Entry,
0.011611227,Entry,
0.012690394,Entry,
0.013837037,Entry,
0.013871991,Entry,
0.016510764,Entry,
0.016706944,Entry,
0.016912269,Entry,
0.017239931,Entry,
0.018778819,Entry,
0.019166898,Entry,
0.019598843,Entry,
0.020857523,Entry,
0.024042361,Entry,
0.024242477,Entry,
0.02453912,Entry,
0.000809259,Faceoff,
0.001691088,Faceoff,
0.002431134,Faceoff,
0.002997801,Faceoff,
0.003622338,Faceoff,
0.004481944,Faceoff,
0.005535648,Faceoff,
0.006405787,Faceoff,
0.007385648,Faceoff,
0.009089931,Faceoff,
0.01032662,Faceoff,
0.010825463,Faceoff,
0.011434144,Faceoff,
0.012400926,Faceoff,
0.013576389,Faceoff,
0.016277431,Faceoff,
0.017203356,Faceoff,
0.017998264,Faceoff,
0.020245023,Faceoff,
0.020705324,Faceoff,
0.021241782,Faceoff,
0.021821065,Faceoff,
0.022619444,Faceoff,
0.02357662,Faceoff,
0.002491898,Forecheck,
0.002675116,Forecheck,
0.003178125,Forecheck,
0.003762037,Forecheck,
0.004008796,Forecheck,
0.004746644,Forecheck,
0.005665162,Forecheck,
0.007770023,Forecheck,
0.008359722,Forecheck,
0.010850347,Forecheck,
0.013867245,Forecheck,
0.016507523,Forecheck,
0.016705208,Forecheck,
0.018774421,Forecheck,
0.019595255,Forecheck,
0.019733796,Forecheck,
0.02288206,Forecheck,
0.023209028,Forecheck,
0.024537037,Forecheck,
0.009179167,Goalie_touch,
0.009342824,Goalie_touch,
0.012746412,Goalie_touch,
0.016437616,Goalie_touch,
0.016821644,Goalie_touch,
0.018634722,Goalie_touch,
0.019506481,Goalie_touch,
0.020770486,Goalie_touch,
0.023638079,Goalie_touch,
0.024190046,Goalie_touch,
0.000836921,NZ_forecheck,
0.001729977,NZ_forecheck,
0.00219375,NZ_forecheck,
0.002471181,NZ_forecheck,
0.005533681,NZ_forecheck,
0.00759919,NZ_forecheck,
0.009101389,NZ_forecheck,
0.010338079,NZ_forecheck,
0.011915162,NZ_forecheck,
0.012712269,NZ_forecheck,
0.020723148,NZ_forecheck,
0.021915625,NZ_forecheck,
0.022643403,NZ_forecheck,
0.023582407,NZ_forecheck,
0.002629745,NZ_offense,
0.003153125,NZ_offense,
0.005127662,NZ_offense,
0.007689931,NZ_offense,
0.013763773,NZ_offense,
0.014006597,NZ_offense,
0.016634838,NZ_offense,
0.017227431,NZ_offense,
0.001208218,Offensive_zone,
0.001845833,Offensive_zone,
0.004123495,Offensive_zone,
0.00477338,Offensive_zone,
0.007940509,Offensive_zone,
0.008463194,Offensive_zone,
0.008638773,Offensive_zone,
0.016308449,Offensive_zone,
0.017297454,Offensive_zone,
0.018034838,Offensive_zone,
0.018824074,Offensive_zone,
0.01920463,Offensive_zone,
0.01983206,Offensive_zone,
0.020261111,Offensive_zone,
0.020881366,Offensive_zone,
0.024056944,Offensive_zone,
0.024252778,Offensive_zone,
0.001446991,Opponent_breakout,
0.001937037,Opponent_breakout,
0.002546759,Opponent_breakout,
0.003280208,Opponent_breakout,
0.003844907,Opponent_breakout,
0.004575926,Opponent_breakout,
0.005027662,Opponent_breakout,
0.007851968,Opponent_breakout,
0.008163194,Opponent_breakout,
0.008546991,Opponent_breakout,
0.010966088,Opponent_breakout,
0.011705787,Opponent_breakout,
0.01193912,Opponent_breakout,
0.012433333,Opponent_breakout,
0.013962616,Opponent_breakout,
0.016370139,Opponent_breakout,
0.016622685,Opponent_breakout,
0.016759722,Opponent_breakout,
0.018582523,Opponent_breakout,
0.018938426,Opponent_breakout,
0.019448495,Opponent_breakout,
0.019671065,Opponent_breakout,
0.020972685,Opponent_breakout,
0.021279167,Opponent_breakout,
0.024158102,Opponent_breakout,
0.024320023,Opponent_breakout,
0.024612616,Opponent_breakout,
0.001753125,Opponent_entry,
0.001968981,Opponent_entry,
0.002214005,Opponent_entry,
0.003337037,Opponent_entry,
0.00387963,Opponent_entry,
0.004618634,Opponent_entry,
0.005051157,Opponent_entry,
0.005223032,Opponent_entry,
0.005579051,Opponent_entry,
0.007411227,Opponent_entry,
0.00788831,Opponent_entry,
0.008196759,Opponent_entry,
0.009155787,Opponent_entry,
0.00931875,Opponent_entry,
0.010420023,Opponent_entry,
0.011080093,Opponent_entry,
0.01173912,Opponent_entry,
0.012085764,Opponent_entry,
0.012564236,Opponent_entry,
0.012725231,Opponent_entry,
0.021319444,Opponent_entry,
0.021972454,Opponent_entry,
0.022657176,Opponent_entry,
0.023022338,Opponent_entry,
0.023302662,Opponent_entry,
0.023615972,Opponent_entry,
0.024196065,Opponent_entry,
0.024643634,Opponent_entry,
0.000918056,Opponent_forecheck,
0.00175162,Opponent_forecheck,
0.004611806,Opponent_forecheck,
0.005568519,Opponent_forecheck,
0.008600694,Opponent_forecheck,
0.009147801,Opponent_forecheck,
0.009317245,Opponent_forecheck,
0.011761343,Opponent_forecheck,
0.012083912,Opponent_forecheck,
0.012549074,Opponent_forecheck,
0.012723264,Opponent_forecheck,
0.021311458,Opponent_forecheck,
0.021970833,Opponent_forecheck,
0.023014699,Opponent_forecheck,
0.02361412,Opponent_forecheck,
0.024192708,Opponent_forecheck,
0.024363889,Opponent_forecheck,
0.005733449,Penalty,
0.014125,Penalty,
0.021342824,Penalty,
0.00639456,Penalty_kill,
0.021809838,Penalty_kill,
0.016265856,Power_play,
0.006821644,Zone_clear,
0.022008565,Zone_clear,
0.022327315,Zone_clear,
0.023093519,Zone_clear,
0.02366088,Zone_clear,
0.023673032,Zone_clear,
