"Game","Period","Time","Event","Poss","EventPoss","PossID","EventSeq"
1,1,0.006821644,"Zone_clear","Colgate","",12,9
1,1,0.00698623,"Shot_against","Colgate","Colgate",12,10
1,1,0.007385648,"Faceoff","Colgate","",12,11
1,1,0.007411227,"Opponent_entry","Colgate","",12,12
1,1,0.007422685,"Defensive_zone","Colgate","",12,13
1,1,0.0074235,"","Colgate","",12,14
1,1,0.007582755,"Breakout","Colgate","",12,15
1,1,0.00759155,"","RPI","",12,1
1,1,0.00759919,"NZ_forecheck","RPI","",12,2
1,1,0.00764433,"","Colgate","",13,1
1,1,0.007689931,"NZ_offense","Colgate","",13,2
1,1,0.00772326,"","RPI","",13,1
1,1,0.007770023,"Forecheck","RPI","",13,2
1,1,0.007771759,"Entry","RPI","",13,3
1,1,0.00785046,"","Colgate","",14,1
1,1,0.007851968,"Opponent_breakout","Colgate","",14,2
1,1,0.00788831,"Opponent_entry","Colgate","",14,3
1,1,0.007908681,"Breakout","Colgate","",14,4
1,1,0.0079169,"","RPI","",14,1
1,1,0.007931019,"Entry","RPI","",14,2
1,1,0.007940509,"Offensive_zone","RPI","",14,3
1,1,0.00797222,"Shot_for","RPI","RPI",14,4
1,1,0.00810347,"","Colgate","",15,1
1,1,0.007991088,"Takeaway","Colgate","Colgate",15,2
1,1,0.008163194,"Opponent_breakout","Colgate","",15,3
1,1,0.008196759,"Opponent_entry","Colgate","",15,4
1,1,0.008232639,"Defensive_zone","Colgate","",15,5
1,1,0.00825914,"Shot_against","Colgate","Colgate",15,6
1,1,0.00832685,"","RPI","",15,1
1,1,0.008335185,"Breakout","RPI","",15,2
1,1,0.008359722,"Forecheck","RPI","",15,3
1,1,0.008362731,"Entry","RPI","",15,4
1,1,0.00845417,"","Colgate","",16,1
1,1,0.008463194,"Offensive_zone","Colgate","",16,2
1,1,0.008546991,"Opponent_breakout","Colgate","",16,3
1,1,0.008600694,"Opponent_forecheck","Colgate","",16,4
1,1,0.00860625,"Breakout","Colgate","",16,5
1,1,0.008634838,"Entry","Colgate","",16,6
1,1,0.008638773,"Offensive_zone","Colgate","",16,7
1,1,0.00865868,"","RPI","",16,1
1,1,0.0086765,"Shot_for","RPI","RPI",16,2
1,1,0.009089931,"Faceoff","RPI","",16,3
1,1,0.009101389,"NZ_forecheck","RPI","",16,4
1,1,0.00914282,"","Colgate","",17,1
1,1,0.009147801,"Opponent_forecheck","Colgate","",17,2
1,1,0.009155787,"Opponent_entry","Colgate","",17,3
1,1,0.009179167,"Goalie_touch","Colgate","",17,4
1,1,0.00921551,"","RPI","",17,1
1,1,0.00926354,"","Colgate","",18,1
1,1,0.009277199,"Breakout","Colgate","",18,2
1,1,0.009317245,"Opponent_forecheck","Colgate","",18,3
1,1,0.00931875,"Opponent_entry","Colgate","",18,4
1,1,0.009342824,"Goalie_touch","Colgate","",18,5
1,1,0.009389,"","RPI","",18,1
1,1,0.009423148,"Breakout","RPI","",18,2
1,1,0.009494792,"Entry","RPI","",18,3
1,1,0.01032662,"Faceoff","RPI","",18,4
1,1,0.010338079,"NZ_forecheck","RPI","",18,5
1,1,0.01037095,"","Colgate","",19,1
1,1,0.010420023,"Opponent_entry","Colgate","",19,2
1,1,0.010488426,"Breakout","Colgate","",19,3
1,1,0.01049167,"","RPI","",19,1
1,1,0.01051331,"Entry","RPI","",19,2
1,1,0.010825463,"Faceoff","RPI","",19,3
1,1,0.010850347,"Forecheck","RPI","",19,4
1,1,0.01085706,"Entry","RPI","",19,5
1,1,0.01089317,"","Colgate","",20,1
1,1,0.010966088,"Opponent_breakout","Colgate","",20,2
1,1,0.011080093,"Opponent_entry","Colgate","",20,3
1,1,0.011434144,"Faceoff","Colgate","",20,4
1,1,0.011438773,"Defensive_zone","Colgate","",20,5
1,1,0.01145532,"Shot_against","Colgate","Colgate",20,6
1,1,0.01148345,"","RPI","",20,1
1,1,0.01154525,"","Colgate","",21,1
1,1,0.011575926,"Breakout","Colgate","",21,2
1,1,0.01159942,"","RPI","",21,1
1,1,0.011611227,"Entry","RPI","",21,2
1,1,0.011705787,"Opponent_breakout","RPI","",21,3
1,1,0.01171609,"","Colgate","",22,1
1,1,0.01173912,"Opponent_entry","Colgate","",22,2
1,1,0.011761343,"Opponent_forecheck","Colgate","",22,3
1,1,0.011866667,"Breakout","Colgate","",22,4
1,1,0.01188773,"","Colgate","",22,5
1,1,0.011915162,"NZ_forecheck","Colgate","",22,6
1,1,0.01193912,"Opponent_breakout","Colgate","",22,7
1,1,0.012083912,"Opponent_forecheck","Colgate","",22,8
1,1,0.012085764,"Opponent_entry","Colgate","",22,9
1,1,0.012400926,"Faceoff","Colgate","",22,10
1,1,0.012433333,"Opponent_breakout","Colgate","",22,11
1,1,0.01245475,"","Colgate","",22,12
1,1,0.012549074,"Opponent_forecheck","Colgate","",22,13
1,1,0.012564236,"Opponent_entry","Colgate","",22,14
1,1,0.012618403,"Breakout","Colgate","",22,15
1,1,0.0126265,"","RPI","",22,1
1,1,0.012690394,"Entry","RPI","",22,2
1,1,0.012702546,"Giveaway","RPI","RPI",22,3
1,1,0.012712269,"NZ_forecheck","RPI","",22,4
1,1,0.012723264,"Opponent_forecheck","RPI","",22,5
1,1,0.01272419,"","Colgate","",23,1
1,1,0.012725231,"Opponent_entry","Colgate","",23,2
1,1,0.012746412,"Goalie_touch","Colgate","",23,3
1,1,0.013557176,"Defensive_zone","Colgate","",23,4
1,1,0.013576389,"Faceoff","Colgate","",23,5
1,1,0.01358565,"Shot_against","Colgate","Colgate",23,6
1,1,0.01361632,"","Colgate","",23,7
