RPIA,RPIB,duration
0.00150463,0.00153125,0.00002800
0.0016331,0.00178472,0.00015293
0.00186458,0.0019456,0.00008206
0.00196991,0.00203009,0.00006082
0.00215394,0.00234259,0.00019135
0.0034375,0.00347801,0.00004345
0.00352431,0.00365046,0.00012590
0.00379745,0.00389352,0.00009771
0.00390394,0.00394097,0.00003843
0.0042037,0.00423611,0.00003109
0.00429514,0.00439236,0.00009944
0.00461921,0.00466667,0.00004924
0.00469097,0.00474884,0.00005793
0.00483912,0.00491204,0.00007472
0.00522106,0.00533565,0.00011219
0.00566319,0.00579977,0.00013440
0.0062963,0.00631019,0.00001679
0.00649653,0.00654282,0.00004654
0.00656713,0.00660301,0.00003707
0.00851157,0.00856366,0.00004981
0.0085706,0.0086169,0.00004654
0.00882292,0.00888889,0.00006411
0.00943519,0.00945023,0.00001622
0.00953125,0.00959491,0.00006082
0.01022338,0.01030093,0.00007434
0.01037384,0.01053125,0.00015506
0.01056829,0.01062847,0.00006179
0.01084838,0.01088079,0.00003089
0.01097569,0.01103356,0.00005715
0.01105556,0.01105787,0.00000347
0.01154398,0.01159028,0.00004634
0.0116794,0.01170486,0.00002722
0.01180671,0.0118206,0.00001564
0.01214583,0.0122963,0.00014946
0.01238889,0.01267477,0.00028443
0.01280324,0.01283912,0.00003591
0.01296412,0.013,0.00003689
0.01442361,0.01458681,0.00016394
0.01513079,0.01518981,0.00006006
0.01559259,0.01566319,0.00007067
0.01569907,0.01576852,0.00006951
0.01580208,0.01582639,0.00002355
0.01611343,0.01614583,0.00003147
0.01623958,0.01632292,0.00008439
0.01670139,0.01679398,0.00009230
0.01690162,0.01700579,0.00010465
0.01822917,0.01834838,0.00012184
0.01840278,0.01852431,0.00012358
0.01897569,0.01902778,0.00004885
0.01903935,0.01915394,0.00011412
0.01926042,0.01940162,0.00014289
0.01946759,0.01959838,0.00013285
0.0196412,0.0198831,0.00024137
0.02000347,0.02019792,0.00019444
0.02023148,0.02043171,0.00020294
0.0204919,0.02074074,0.00024639
0.02105556,0.02110417,0.00005079
0.02170486,0.02176042,0.00005310
0.02187963,0.02206597,0.00018557
0.02253356,0.02270255,0.00017301
0.02297338,0.02310301,0.00013034
0.02335648,0.02336111,0.00000869
0.02338542,0.02370949,0.00032402
0.02377431,0.02417014,0.00039720
