Time,Event,Poss,EventPoss
0.00150463,,1,
0.0016331,,1,
0.00186458,,1,
0.00196991,,1,
0.00215394,,1,
0.0034375,,1,
0.00352431,,1,
0.00379745,,1,
0.00390394,,1,
0.0042037,,1,
0.00429514,,1,
0.00461921,,1,
0.00469097,,1,
0.00483912,,1,
0.00522106,,1,
0.00566319,,1,
0.0062963,,1,
0.00649653,,1,
0.00656713,,1,
0.00851157,,1,
0.0085706,,1,
0.00882292,,1,
0.00943519,,1,
0.00953125,,1,
0.01022338,,1,
0.01037384,,1,
0.01056829,,1,
0.01084838,,1,
0.01097569,,1,
0.01105556,,1,
0.01154398,,1,
0.0116794,,1,
0.01180671,,1,
0.01214583,,1,
0.01238889,,1,
0.01280324,,1,
0.01296412,,1,
0.01442361,,1,
0.01513079,,1,
0.01559259,,1,
0.01569907,,1,
0.01580208,,1,
0.01611343,,1,
0.01623958,,1,
0.01670139,,1,
0.01690162,,1,
0.01822917,,1,
0.01840278,,1,
0.01897569,,1,
0.01903935,,1,
0.01926042,,1,
0.01946759,,1,
0.0196412,,1,
0.02000347,,1,
0.02023148,,1,
0.0204919,,1,
0.02105556,,1,
0.02170486,,1,
0.02187963,,1,
0.02253356,,1,
0.02297338,,1,
0.02335648,,1,
0.02338542,,1,
0.02377431,,1,
