Shot_for,Chance
0.00235995,goal
0.00369907,yes
0.00382407,wide
0.01049884,yes
0.01158912,no
0.0125463,wide
0.01846296,no
0.0190081,blocked
0.01951736,wide
0.02015278,yes
0.02031829,yes
0.02198148,blocked
0.02199769,no
0.02361458,wide
