Shot_Against,Chance
0.00211343,blocked
0.00214699,no
0.00441204,blocked
0.00445602,blocked
0.00516551,wide
0.00521991,no
0.00562847,wide
0.00645255,wide
0.00655208,no
0.00705324,wide
0.0071331,blocked
0.00952662,yes
0.00963542,wide
0.00965741,blocked
0.01075579,yes
0.01103588,yes
0.01105671,yes
0.01178819,yes
0.01307292,yes
0.01469097,yes
0.01508796,wide
0.01519907,yes
0.01535185,blocked
0.01544444,wide
0.01557986,blocked
0.0160787,blocked
0.01614005,wide
