Shot_against,Chance
0.00109444,no
0.0011419,blocked
0.00303773,no
0.00507847,no
0.00525914,no
0.00668275,no
0.00698623,goal
0.00825914,yes
0.01145532,blocked
0.01358565,blocked
0.01361863,wide
0.02218125,yes
0.02220301,yes
0.02389861,blocked
0.02390949,wide
