Time,Event,Poss,EventPoss
0.00121713,,1,
0.00131921,,1,
0.00182778,,1,
0.00261944,,1,
0.00312431,,1,
0.00335648,,1,
0.00365046,,1,
0.00373125,,1,
0.00403275,,1,
0.00451308,,1,
0.00472778,,1,
0.00514109,,1,
0.00561586,,1,
0.00759155,,1,
0.00772326,,1,
0.0079169,,1,
0.00832685,,1,
0.00865868,,1,
0.00921551,,1,
0.009389,,1,
0.01049167,,1,
0.01148345,,1,
0.01159942,,1,
0.0126265,,1,
0.01366852,,1,
0.0140169,,1,
0.01631343,,1,
0.01649294,,1,
0.01660938,,1,
0.01665995,,1,
0.01686829,,1,
0.01725602,,1,
0.0180353,,1,
0.01917037,,1,
0.01944537,,1,
0.01983866,,1,
0.0198897,,1,
0.02081435,,1,
0.02367095,,1,
0.024039,,1,
0.02423762,,1,
0.02439873,,1,
