Time,Event,Poss,EventPoss
0.0008691,,2,
0.00088113,,2,
0.00128484,,2,
0.00138796,,2,
0.00171458,,2,
0.00184294,,2,
0.0024684,,2,
0.00307905,,2,
0.00324294,,2,
0.00369618,,2,
0.00384838,,2,
0.00400694,,2,
0.00411053,,2,
0.00498958,,2,
0.00557824,,2,
0.0056978,,2,
0.00644664,,2,
0.0074235,,2,
0.00764433,,2,
0.00785046,,2,
0.00810347,,2,
0.00845417,,2,
0.00914282,,2,
0.00926354,,2,
0.01037095,,2,
0.01089317,,2,
0.01154525,,2,
0.01171609,,2,
0.01188773,,2,
0.01245475,,2,
0.01272419,,2,
0.01361632,,2,
0.01392488,,2,
0.01411296,,2,
0.01639167,,2,
0.01676389,,2,
0.01896979,,2,
0.01942106,,2,
0.01965718,,2,
0.01987188,,2,
0.02074259,,2,
0.02099757,,2,
0.0213103,,2,
0.02196169,,2,
0.02268634,,2,
0.02362303,,2,
0.02370764,,2,
0.024136,,2,
0.02433252,,2,
0.02460556,,2,
