OPPOA,OPPOB,duration
0.00060313,0.00068611,0.00008439
0.00073981,0.00098738,0.00025064
0.00103414,0.00105544,0.00002008
0.0010772,0.00120544,0.00012880
0.00156192,0.00184005,0.00027844
0.00186875,0.00201597,0.00014521
0.00217824,0.00225602,0.00007550
0.00239873,0.00245509,0.00005522
0.00342789,0.00346586,0.00004016
0.00449491,0.00457176,0.00007396
0.00485162,0.00492951,0.00007589
0.00500463,0.00508275,0.00007627
0.00628623,0.00633194,0.00004538
0.00704178,0.00714549,0.00010331
0.00852106,0.00858889,0.00006681
0.00876644,0.0088941,0.00012782
0.00897373,0.00898623,0.00001313
0.00938785,0.00946829,0.00008014
0.00950278,0.00959757,0.00009616
0.00991192,0.00997778,0.00006333
0.01011887,0.01019005,0.00007222
0.01024676,0.01031204,0.00006256
0.01033819,0.01040521,0.00006546
0.0104338,0.01046829,0.00003438
0.01052188,0.01058206,0.00006160
0.01249375,0.01255822,0.00006122
0.01270799,0.01274491,0.00003843
0.01324259,0.01354734,0.00030741
0.01370741,0.01383194,0.00012262
0.01395845,0.01399572,0.00003900
0.01402118,0.01411123,0.00008844
0.01430775,0.01440255,0.00009616
0.01444595,0.01461887,0.00017243
0.0156941,0.01587095,0.00017899
0.01675301,0.01690197,0.00014810
0.01733113,0.01753889,0.00020738
0.01758067,0.01764236,0.00006431
0.01773519,0.01789826,0.00016374
0.01827581,0.01838032,0.00010485
0.01845139,0.01852141,0.00007047
0.0185419,0.0185934,0.00005503
0.01862778,0.01891296,0.00028230
0.01925926,0.01932813,0.00006855
0.01949016,0.01962095,0.00013304
0.01984132,0.02008113,0.00023770
0.02125093,0.02128553,0.00003456
0.02164826,0.02186458,0.00021395
0.02197986,0.02205382,0.00007705
0.02208877,0.02214618,0.00005697
0.02241979,0.02245301,0.00003225
0.0228294,0.02294456,0.00011470
0.02299132,0.02310741,0.00011624
0.02314167,0.02325382,0.00010987
0.02334699,0.02340752,0.00006237
0.0235588,0.02362303,0.00006082
0.02444479,0.02471343,0.00027034
0.02474537,0.02510787,0.00036495
0.02542986,0.02551389,0.00008612
0.02583877,0.0258691,0.00002742
0.02590648,0.02594965,0.00004113
