Time,Event,Poss,EventPoss
0.00055498,,1,
0.00068727,,1,
0.00098866,,1,
0.00105648,,1,
0.00120648,,1,
0.00184132,,1,
0.00201713,,1,
0.00225718,,1,
0.00297859,,1,
0.00347199,,1,
0.00435185,,1,
0.00457315,,1,
0.00493056,,1,
0.00623252,,1,
0.0063331,,1,
0.0083794,,1,
0.00859005,,1,
0.00889965,,1,
0.00946921,,1,
0.0099787,,1,
0.0101963,,1,
0.01031308,,1,
0.01040637,,1,
0.01047431,,1,
0.01058345,,1,
0.01238611,,1,
0.01255938,,1,
0.01355336,,1,
0.0138331,,1,
0.01399699,,1,
0.0141125,,1,
0.01440938,,1,
0.01633333,,1,
0.01754016,,1,
0.01764375,,1,
0.01824016,,1,
0.01838148,,1,
0.0185228,,1,
0.01859907,,1,
0.01891424,,1,
0.01923669,,1,
0.01948438,,1,
0.01962222,,1,
0.02008229,,1,
0.02128692,,1,
0.02186644,,1,
0.02206076,,1,
0.02215231,,1,
0.02251713,,1,
0.02296262,,1,
0.02311366,,1,
0.02325498,,1,
0.02341713,,1,
0.02362407,,1,
0.02439734,,1,
0.02471458,,1,
0.02537025,,1,
0.02587014,,1,
0.02595081,,1,
