Shot_for,Chance
0.00226829,yes
0.0022956,blocked
0.0032294,wide
0.0033375,wide
0.00376435,wide
0.00390359,yes
0.00476991,blocked
0.00668287,yes
0.00687731,yes
0.00896019,yes
0.01389144,yes
0.014264,wide
0.0197956,blocked
0.0214588,wide
0.02161181,yes
0.0223897,yes
0.02324664,yes
0.02332361,yes
0.0233441,yes
