Time,Event,Poss,EventPoss
0.00060313,,2,
0.00073981,,2,
0.00103414,,2,
0.0010772,,2,
0.00156192,,2,
0.00186875,,2,
0.00217824,,2,
0.00239873,,2,
0.00342789,,2,
0.00449491,,2,
0.00485162,,2,
0.00500463,,2,
0.00628623,,2,
0.00704178,,2,
0.00852106,,2,
0.00876644,,2,
0.00897373,,2,
0.00938785,,2,
0.00950278,,2,
0.00991192,,2,
0.01011887,,2,
0.01024676,,2,
0.01033819,,2,
0.0104338,,2,
0.01052188,,2,
0.01249375,,2,
0.01270799,,2,
0.01324259,,2,
0.01370741,,2,
0.01395845,,2,
0.01402118,,2,
0.01430775,,2,
0.01444595,,2,
0.0156941,,2,
0.01675301,,2,
0.01733113,,2,
0.01758067,,2,
0.01773519,,2,
0.01827581,,2,
0.01845139,,2,
0.0185419,,2,
0.01862778,,2,
0.01925926,,2,
0.01949016,,2,
0.01984132,,2,
0.02125093,,2,
0.02164826,,2,
0.02197986,,2,
0.02208877,,2,
0.02241979,,2,
0.0228294,,2,
0.02299132,,2,
0.02314167,,2,
0.02334699,,2,
0.0235588,,2,
0.02444479,,2,
0.02474537,,2,
0.02542986,,2,
0.02583877,,2,
0.02590648,,2,
