Shot_against,Chance
0.00154109,blocked
0.00160938,yes
0.00500324,yes
0.00709433,no
0.00711771,yes
0.008836,yes
0.00886563,blocked
0.01030243,no
0.01045405,no
0.01254653,blocked
0.01380162,blocked
0.01451713,no
0.01569537,wide
0.01582604,blocked
0.01633194,no
0.01675231,no
0.01677454,goal
0.01740729,wide
0.01751377,blocked
0.02172454,yes
0.02496713,yes
